gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0l5, d1l5, d0l6, d1l6, d0l7, d1l7, d0l8, d1l8, d0l9, d1l9, d0l10, d1l10, d0l11, d1l11, d0l12, d1l12, d0l13, d1l13, d0l14, d1l14, d0l15, d1l15, d0l16, d1l16, d0l17, d1l17, d0l18, d1l18, d0l19, d1l19, d0W1, d0W0.974546, d0W0.952823, d0W0.934833, d0W0.920574, d0W0.910048, d0W0.903254, d0W0.900192, d0W0.900862, d0W0.905263, d0W0.913397, d0W0.925263, d0W0.940862, d0W0.960192, d0W0.983254, d0W1.01005, d0W1.04057, d0W1.07483, d0W1.11282, d0W1.15455, d0W1.2, d1W1, d1W0.974546, d1W0.952823, d1W0.934833, d1W0.920574, d1W0.910048, d1W0.903254, d1W0.900192, d1W0.900862, d1W0.905263, d1W0.913397, d1W0.925263, d1W0.940862, d1W0.960192, d1W0.983254, d1W1.01005, d1W1.04057, d1W1.07483, d1W1.11282, d1W1.15455, d1W1.2, 
0, 0.96,0.15,0.985,0.0075,0.8525,0.19,0.9725,0.08,0.9975,0.395,0.9875,0.1375,0.99,0.04,0.9975,0.175,0.985,0.115,0.9775,0.0075,0.995,0.0075,0.97,0.145,0.9925,0.05,0.995,0.1925,0.9875,0.2825,0.9975,0.5025,0.9875,0.1625,0.985,0.0675,0.965,0.0625,0.995,0.0225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,22,70,101,86,82,26,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
100, 0.99,0.05,0.995,0.1275,0.9825,0.0175,0.9725,0.035,0.995,0.265,1,0.265,0.975,0.1825,0.995,0.37,0.9925,0.205,0.9875,0.11,0.995,0.03,0.9925,0.0975,0.9925,0.025,0.985,0.275,0.99,0.2225,1,0.37,0.995,0.26,0.9975,0.0875,0.9875,0.0075,0.95,0.3225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,17,173,91,71,26,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200, 0.9625,0.0325,0.99,0.17,1,0.0575,0.995,0.0975,1,0.385,1,0.4025,1,0.3075,1,0.3175,1,0.3975,1,0.21,1,0.0825,0.9925,0.095,1,0.185,1,0.2075,1,0.0375,1,0.29,0.98,0.3925,1,0.0225,1,0.0575,1,0.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,163,66,75,44,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
300, 1,0.3475,0.995,0.0225,1,0,0.9975,0.0925,0.9975,0.275,1,0.18,0.9975,0.17,0.9975,0.2875,1,0.3375,1,0.0575,0.9975,0.19,1,0.1825,0.9975,0.16,1,0.1725,1,0.1275,1,0.1125,1,0.3425,0.9975,0.0375,1,0.2525,0.9825,0.19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,190,76,76,39,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
400, 1,0.325,1,0.025,1,0.03,1,0.035,1,0.2825,1,0.0325,1,0.32,1,0.1475,1,0.23,1,0.01,1,0.14,1,0.0475,1,0.0075,1,0.08,1,0.36,1,0.01,1,0.49,1,0.01,1,0.48,1,0.1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,65,87,39,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
500, 0.9875,0.3575,0.97,0.0175,0.9725,0.06,0.975,0.29,0.9975,0.4475,0.9775,0.0475,0.97,0.195,0.98,0.14,0.965,0.2275,0.9675,0.16,0.98,0.265,0.9725,0.0525,0.985,0.275,0.9725,0.02,0.985,0.3325,0.9625,0.035,0.9675,0.535,0.9775,0.2425,0.9925,0.3875,0.9875,0.16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,6,30,145,48,75,47,22,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600, 1,0.2825,1,0,0.955,0.095,0.9925,0.1625,1,0.6275,0.99,0.0225,1,0.0375,0.99,0.0925,0.975,0.1175,0.9975,0.2875,1,0.1275,1,0.03,1,0.125,1,0.0375,1,0.23,1,0.0725,1,0.225,1,0.045,1,0.2675,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,28,169,79,72,43,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
700, 0.9625,0.38,0.9925,0.1075,0.99,0.065,1,0.2325,1,0.7025,0.9925,0.0225,0.97,0.03,1,0.075,1,0.28,0.9775,0.255,0.995,0.095,0.9975,0.1425,0.9875,0.49,0.9875,0.12,1,0.04,0.99,0.0675,0.9925,0.1775,0.9925,0.08,0.99,0.1475,0.9975,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,5,29,156,37,77,60,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
800, 1,0.2475,1,0.175,0.9675,0.305,1,0.4175,1,0.4475,1,0,0.9975,0.04,1,0.08,0.9775,0.2025,1,0.2075,0.9525,0.3275,1,0.2975,1,0.61,1,0.07,1,0.205,1,0.0875,0.9725,0.21,1,0.1375,0.985,0.19,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,51,142,42,67,59,27,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
900, 1,0.35,1,0.0525,1,0.4825,1,0.2125,1,0.49,1,0.03,1,0.0775,0.93,0.015,1,0.125,0.99,0.0325,0.995,0.2225,1,0.3775,1,0.455,1,0.0875,1,0.36,1,0.015,1,0.0775,1,0.275,1,0.2375,1,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,161,51,72,38,31,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
