gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.205744, d0W0.00861561, d0W0.408616, d0W1.40574, d0W3, d1W1, d1W0.205744, d1W0.00861561, d1W0.408616, d1W1.40574, d1W3, 
0, 0.9925,0.135,0.9975,0.13,0.995,0.0975,0.9925,0.1225,0.995,0.07,1,0,0,1,1,197,182,16,2,0,0,0,
100, 0.995,0.155,0.995,0.17,0.995,0.18,0.995,0.2125,0.995,0.1825,0,0,0,0,0,200,176,14,5,2,1,2,
200, 0.99,0.0925,0.9875,0.11,0.99,0.12,0.99,0.1075,0.9925,0.115,1,0,0,1,0,198,193,4,1,0,0,2,
300, 0.995,0.105,0.9925,0.075,0.99,0.1275,0.995,0.07,0.9925,0.0725,1,0,0,0,1,198,188,12,0,0,0,0,
400, 0.99,0.1425,0.99,0.1125,0.995,0.1525,0.9925,0.11,0.9925,0.09,0,0,0,0,0,200,185,14,0,0,0,1,
500, 0.9925,0.1825,0.99,0.1275,0.9925,0.1475,0.9925,0.1775,0.99,0.15,3,0,1,1,2,193,181,18,0,0,0,1,
600, 0.99,0.155,0.9925,0.18,0.99,0.15,0.9925,0.1125,0.9925,0.1525,0,0,0,0,0,200,181,17,0,0,0,2,
700, 0.99,0.055,0.99,0.12,0.99,0.105,0.99,0.0975,0.99,0.115,1,0,0,0,2,197,177,21,2,0,0,0,
800, 1,0.1075,1,0.165,1,0.1375,1,0.1525,1,0.1125,0,0,0,0,2,198,186,9,1,1,0,3,
900, 0.9875,0.1525,0.99,0.0975,0.9925,0.155,0.99,0.145,0.9925,0.135,3,0,0,0,0,197,178,19,3,0,0,0,
