gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.761723, d0W0.702585, d0W0.822585, d0W1.12172, d0W1.6, d1W1, d1W0.761723, d1W0.702585, d1W0.822585, d1W1.12172, d1W1.6, 
0, 0.99,0.35,0.98,0.295,0.98,0.2925,0.975,0.195,0.985,0.3025,2,0,3,1,3,191,142,40,14,0,0,4,
100, 0.975,0.315,0.98,0.2975,0.9675,0.285,0.9775,0.3775,0.985,0.395,3,0,2,2,8,185,112,63,20,2,0,3,
200, 1,1,0.9975,0.995,1,0.9925,1,0.9625,1,0.9975,0,0,0,0,2,198,0,0,0,3,26,171,
300, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
400, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
500, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
600, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
700, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
800, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
900, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
