gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.841149, d0W0.801723, d0W0.881723, d0W1.08115, d0W1.4, d1W1, d1W0.841149, d1W0.801723, d1W0.881723, d1W1.08115, d1W1.4, 
0, 0.98,0.2425,0.9825,0.205,0.98,0.37,0.985,0.2525,0.9875,0.2275,2,2,2,3,6,185,137,55,5,0,0,3,
100, 0.9925,0.12,0.965,0.2875,0.99,0.3225,0.99,0.1975,0.99,0.215,1,0,0,3,13,183,143,49,7,1,0,0,
200, 0.9825,0.1725,0.98,0.1775,0.9875,0.1425,0.9775,0.215,0.98,0.2275,2,0,2,3,5,188,175,14,9,1,0,1,
300, 1,0.2375,0.9975,0.155,0.995,0.245,0.9925,0.2175,0.99,0.205,2,0,0,0,3,195,161,34,5,0,0,0,
400, 0.9825,0.205,0.9825,0.2425,0.9875,0.215,0.995,0.185,0.9925,0.1425,1,1,1,2,5,190,162,38,0,0,0,0,
500, 0.9875,0.155,0.99,0.17,0.9925,0.05,0.995,0.105,0.9925,0.16,3,3,1,3,5,185,189,11,0,0,0,0,
600, 0.9825,0.225,0.995,0.15,0.995,0.2675,0.9875,0.1875,0.985,0.2775,1,2,0,2,8,187,165,32,1,0,1,1,
700, 0.995,0.19,0.9825,0.2525,0.99,0.1375,0.9775,0.26,0.995,0.31,0,0,2,0,8,190,158,35,4,0,1,2,
800, 0.99,0.1475,0.9825,0.115,0.9875,0.2625,0.99,0.34,0.98,0.1225,2,1,1,2,7,187,151,39,7,3,0,0,
900, 0.9775,0.155,0.9925,0.1575,0.9975,0.1875,0.9925,0.19,0.9975,0.3425,2,0,1,3,12,182,146,47,6,1,0,0,
