gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.920574, d0W0.900862, d0W0.940862, d0W1.04057, d0W1.2, d1W1, d1W0.920574, d1W0.900862, d1W0.940862, d1W1.04057, d1W1.2, 
0, 0.9925,0.5325,1,0.3425,0.975,0.28,0.995,0.2075,0.9925,0.17,0,2,0,0,17,181,117,67,11,4,0,1,
100, 0.9575,0.255,0.9775,0.2475,0.9725,0.1475,0.965,0.09,0.9775,0.0775,2,2,2,5,30,159,178,22,0,0,0,0,
200, 0.995,0.28,0.9925,0.2525,0.9925,0.3025,0.985,0.2575,0.9825,0.265,0,0,0,1,7,192,134,52,12,1,0,1,
300, 0.9675,0.165,0.99,0.275,0.9925,0.27,0.9775,0.225,0.9875,0.0875,2,1,0,0,11,186,156,41,3,0,0,0,
400, 0.9825,0.1725,0.9875,0.295,0.9925,0.2525,0.96,0.1975,0.975,0.19,0,6,3,0,15,176,156,37,6,0,0,1,
500, 0.9775,0.2775,0.995,0.305,0.97,0.31,0.99,0.1725,0.9825,0.165,0,0,3,7,8,182,155,40,2,1,1,1,
600, 0.9825,0.255,0.985,0.23,0.985,0.1925,0.985,0.23,0.985,0.2975,1,0,1,1,3,194,139,50,8,2,0,1,
700, 1,0.105,0.9825,0.2825,0.9975,0.17,1,0.2075,0.9925,0.0375,0,0,1,0,10,189,177,23,0,0,0,0,
800, 0.965,0.165,0.9925,0.125,0.9975,0.1325,0.975,0.0225,0.99,0.2325,1,0,0,2,17,180,179,18,2,0,0,1,
900, 1,0.0075,1,0.0725,1,0.1925,0.9675,0.13,0.9875,0.0375,0,0,1,2,20,177,188,11,1,0,0,0,
