gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.761723, d0W0.702585, d0W0.822585, d0W1.12172, d0W1.6, d1W1, d1W0.761723, d1W0.702585, d1W0.822585, d1W1.12172, d1W1.6, 
0, 0.9925,0.255,1,0.1425,0.9925,0.155,1,0.24,1,0.125,1,0,0,0,5,194,170,24,6,0,0,0,
100, 0.9825,0.1275,0.9875,0.1275,0.9825,0.0525,0.98,0.0875,0.9875,0.0625,3,0,0,2,6,189,193,6,0,0,0,1,
200, 0.99,0.115,0.995,0.1425,0.995,0.12,0.9925,0.1725,0.99,0.2125,0,1,0,0,0,199,188,10,0,1,0,1,
300, 0.9925,0.1425,0.9875,0.18,0.9825,0.0975,0.985,0.1175,0.985,0.0325,3,1,0,0,4,192,178,22,0,0,0,0,
400, 0.9925,0.0775,0.995,0.08,0.985,0.05,0.9975,0.1525,0.995,0.125,1,0,0,2,8,189,188,11,0,0,1,0,
500, 0.995,0.17,0.995,0.195,0.9975,0.1525,0.995,0.17,0.9975,0.2175,1,0,0,0,0,199,161,38,0,0,0,1,
600, 0.9875,0.15,0.99,0.15,0.9875,0.1925,0.985,0.15,0.9875,0.245,2,0,0,0,5,193,180,13,5,0,0,2,
700, 0.995,0.1275,1,0.2075,1,0.1525,1,0.125,0.98,0.18,0,0,0,0,7,193,178,22,0,0,0,0,
800, 0.995,0.17,0.995,0.1925,0.99,0.175,0.9875,0.1125,0.9875,0.2675,2,0,1,0,5,192,169,29,2,0,0,0,
900, 0.9925,0.1175,0.98,0.22,0.985,0.1675,0.995,0.195,0.9875,0.0675,0,1,5,1,2,191,173,27,0,0,0,0,
