gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.920574, d0W0.900862, d0W0.940862, d0W1.04057, d0W1.2, d1W1, d1W0.920574, d1W0.900862, d1W0.940862, d1W1.04057, d1W1.2, 
0, 0.995,0.2325,0.995,0.1225,0.995,0.03,0.995,0.24,0.995,0.265,1,0,0,0,1,198,173,26,0,0,0,1,
100, 1,0.1875,0.995,0.47,0.9925,0.125,0.9925,0.16,0.9925,0.52,0,0,0,1,7,192,114,69,17,0,0,0,
200, 1,0.095,1,0.1025,1,0.175,1,0.14,1,0.2925,0,0,0,0,0,200,177,20,1,0,0,2,
300, 0.9975,0.0125,1,0.4575,1,0.2325,0.98,0.015,1,0.255,0,1,2,0,3,194,134,59,7,0,0,0,
400, 0.97,0.0825,0.99,0.1675,0.995,0.15,0.985,0.04,0.9925,0.2875,1,1,0,1,6,191,165,33,1,0,0,1,
500, 0.9975,0.2325,1,0.2025,1,0.1375,0.985,0.11,0.9975,0.3125,0,0,3,3,5,189,172,22,5,1,0,0,
600, 1,0.055,1,0.22,1,0.0725,1,0.04,1,0.1475,0,0,0,0,0,200,186,13,0,0,0,1,
700, 0.985,0.13,0.9875,0.1625,0.9825,0.195,0.9875,0.0025,0.9825,0.21,2,0,0,5,8,185,172,27,1,0,0,0,
800, 0.995,0.085,0.99,0.04,1,0.165,1,0.03,0.99,0.1925,0,0,0,2,6,192,180,20,0,0,0,0,
900, 0.995,0.175,0.995,0.01,0.995,0.09,0.995,0.12,0.995,0.045,0,0,0,0,0,200,187,13,0,0,0,0,
