gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.602872, d0W0.504308, d0W0.704308, d0W1.20287, d0W2, d1W1, d1W0.602872, d1W0.504308, d1W0.704308, d1W1.20287, d1W2, 
0, 0.985,0.2525,0.9875,0.28,0.9925,0.2775,0.9875,0.27,0.9875,0.1525,2,2,0,1,2,193,146,48,3,1,1,1,
100, 0.985,0.1425,0.9925,0.1525,0.99,0.1325,0.99,0.1725,0.99,0.18,2,1,0,0,0,197,177,19,4,0,0,0,
200, 0.9925,0.24,0.9875,0.1975,0.995,0.1825,0.995,0.1175,0.995,0.1875,1,1,3,1,2,192,152,42,5,1,0,0,
300, 0.995,0.1525,1,0.2425,1,0.31,0.9975,0.3275,0.9925,0.2425,3,0,2,1,0,194,149,42,6,2,0,1,
400, 0.985,0.2675,0.9925,0.19,0.9875,0.2225,0.9925,0.2925,0.9875,0.1975,2,3,1,0,1,193,157,36,3,0,0,4,
500, 0.9775,0.2475,0.9725,0.2225,0.97,0.225,0.9775,0.245,0.9725,0.2025,4,1,1,0,1,193,166,27,4,0,0,3,
600, 0.9975,0.255,0.995,0.2625,0.9875,0.2375,0.99,0.2125,0.995,0.22,3,1,0,0,1,195,154,37,6,1,0,2,
700, 0.99,0.295,0.995,0.26,0.995,0.305,0.9875,0.2775,0.995,0.2425,2,1,0,4,5,188,133,51,9,2,1,4,
800, 0.99,0.305,0.98,0.325,0.98,0.2525,0.98,0.355,0.985,0.3425,1,1,0,0,1,197,132,52,9,2,2,3,
900, 0.9825,0.3275,0.985,0.215,0.9775,0.3125,0.98,0.2625,0.975,0.2875,2,1,0,2,1,194,129,50,12,6,1,2,
