gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.761723, d0W0.702585, d0W0.822585, d0W1.12172, d0W1.6, d1W1, d1W0.761723, d1W0.702585, d1W0.822585, d1W1.12172, d1W1.6, 
0, 0.99,0.235,0.985,0.2,0.985,0.2625,0.9925,0.2975,0.9875,0.1225,2,1,1,0,3,193,151,42,3,2,0,2,
100, 0.97,0.1725,0.9775,0.2025,0.985,0.33,0.97,0.2425,0.9725,0.2,2,2,0,2,6,188,151,41,7,0,1,0,
200, 1,0.1925,1,0.3325,1,0.19,1,0.315,1,0.2,0,1,0,1,1,197,151,40,6,1,0,2,
300, 0.9875,0.195,0.9875,0.34,0.985,0.34,0.985,0.195,0.9925,0.225,2,1,1,0,6,190,151,40,5,1,0,3,
400, 0.9875,0.23,0.99,0.3425,0.9925,0.29,0.985,0.24,0.9875,0.19,1,1,1,1,0,196,138,50,9,0,1,2,
500, 0.99,0.2475,0.9925,0.26,0.99,0.21,0.9925,0.2975,0.9975,0.305,0,1,0,2,4,193,153,40,5,0,0,2,
600, 0.97,0.29,0.9575,0.195,0.95,0.2375,0.9625,0.24,0.965,0.3125,3,3,1,3,8,182,149,38,8,1,1,3,
700, 0.9975,0.1975,0.9925,0.2425,0.99,0.2675,0.99,0.1825,0.9975,0.335,0,1,0,0,0,199,149,39,7,2,1,2,
800, 0.985,0.205,0.9825,0.1925,0.9925,0.32,0.99,0.395,0.9925,0.2175,3,1,1,2,4,189,144,47,5,0,0,4,
900, 0.9775,0.2075,0.985,0.1325,0.98,0.275,0.9825,0.2375,0.985,0.2075,1,0,0,0,2,197,149,38,9,4,0,0,
