gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.841149, d0W0.801723, d0W0.881723, d0W1.08115, d0W1.4, d1W1, d1W0.841149, d1W0.801723, d1W0.881723, d1W1.08115, d1W1.4, 
0, 0.99,0.1825,0.985,0.17,0.985,0.29,0.975,0.1325,0.98,0.21,0,0,1,2,18,179,173,24,2,0,0,1,
100, 0.995,0.2475,0.9925,0.2,0.995,0.1875,0.99,0.275,0.9925,0.1825,1,0,0,0,4,195,153,40,7,0,0,0,
200, 0.99,0.175,0.9825,0.265,0.99,0.2975,0.99,0.24,0.995,0.1775,1,1,0,0,2,196,157,40,1,0,0,2,
300, 0.985,0.195,0.9675,0.1475,0.98,0.0875,0.98,0.1675,0.9775,0.225,0,0,1,3,8,188,172,26,2,0,0,0,
400, 0.9975,0.1825,1,0.165,1,0.105,0.9975,0.22,0.98,0.1325,0,1,1,0,6,192,178,17,2,1,0,2,
500, 0.99,0.2325,0.99,0.1075,0.995,0.1625,0.9925,0.2,0.985,0.305,0,1,0,1,3,195,162,32,3,0,0,3,
600, 0.9825,0.1675,0.965,0.2575,0.9875,0.1925,0.9925,0.165,0.985,0.27,0,2,3,0,7,188,145,50,4,1,0,0,
700, 0.9975,0.21,1,0.3175,0.995,0.3075,1,0.2775,0.9975,0.23,0,0,2,2,1,195,127,61,10,2,0,0,
800, 0.9925,0.1875,0.9775,0.215,0.985,0.135,0.98,0.255,0.9825,0.1325,1,1,0,0,9,189,166,31,2,0,0,1,
900, 0.995,0.175,0.995,0.2425,0.9875,0.2875,0.995,0.1375,0.995,0.1175,0,0,0,0,1,199,164,29,5,1,0,1,
