gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.602872, d0W0.504308, d0W0.704308, d0W1.20287, d0W2, d1W1, d1W0.602872, d1W0.504308, d1W0.704308, d1W1.20287, d1W2, 
0, 0.995,0.2625,0.9925,0.2575,0.9975,0.2575,0.9925,0.2125,0.9925,0.2475,2,2,1,0,1,194,160,27,10,1,0,2,
100, 0.975,0.2175,0.9725,0.2075,0.97,0.185,0.975,0.1875,0.97,0.1875,5,2,0,2,2,189,170,25,4,0,0,1,
200, 0.9925,0.3425,0.9875,0.2625,0.9925,0.2725,0.9925,0.245,0.99,0.33,2,2,2,0,1,193,137,47,9,3,0,4,
300, 0.99,0.2275,0.9925,0.255,0.99,0.175,0.9875,0.2925,0.985,0.295,3,2,3,0,2,190,143,50,6,0,0,1,
400, 0.98,0.365,0.975,0.21,0.9825,0.295,0.9825,0.23,0.9775,0.33,2,1,3,1,1,192,147,40,9,1,0,3,
500, 0.9725,0.2575,0.9775,0.2475,0.965,0.2375,0.9725,0.29,0.9725,0.1975,3,3,4,1,4,185,153,33,11,0,1,2,
600, 0.985,0.2225,0.9775,0.24,0.9875,0.19,0.985,0.26,0.9775,0.2575,1,1,2,2,0,194,155,32,8,0,1,4,
700, 0.9825,0.2625,0.98,0.395,0.985,0.3125,0.985,0.34,0.985,0.225,6,4,6,0,3,181,138,43,14,3,0,2,
800, 0.975,0.2325,0.9875,0.1875,0.98,0.2725,0.975,0.2625,0.975,0.1425,3,0,2,1,0,194,147,43,8,1,0,1,
900, 0.99,0.235,0.9775,0.3225,0.985,0.2575,0.9875,0.31,0.985,0.1825,0,0,0,1,1,198,152,41,5,0,0,2,
