gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.761723, d0W0.702585, d0W0.822585, d0W1.12172, d0W1.6, d1W1, d1W0.761723, d1W0.702585, d1W0.822585, d1W1.12172, d1W1.6, 
0, 0.9875,0.0875,0.9875,0.11,0.9875,0.135,0.9875,0.175,0.9825,0.1,1,0,0,0,3,196,194,4,0,0,0,2,
100, 0.9925,0.1125,0.995,0.1125,0.9925,0.11,0.995,0.175,0.9925,0.195,2,0,0,0,0,198,185,15,0,0,0,0,
200, 0.9825,0.105,0.99,0.24,0.9825,0.22,0.9775,0.16,0.9875,0.19,2,0,0,0,2,196,168,29,3,0,0,0,
300, 0.985,0.03,0.9875,0.145,0.9875,0.095,0.9875,0.0375,0.99,0.125,1,0,0,0,3,196,192,8,0,0,0,0,
400, 0.985,0.115,0.985,0.1525,0.985,0.1075,0.985,0.115,0.99,0.115,1,3,2,1,2,191,195,3,1,0,0,1,
500, 0.985,0.105,0.9825,0.09,0.9925,0.1775,0.985,0.1175,0.98,0.155,6,1,3,3,1,186,180,18,2,0,0,0,
600, 0.99,0.14,0.9925,0.1,0.995,0.0725,0.99,0.1225,0.99,0.0975,0,0,1,0,3,196,188,10,1,0,0,1,
700, 0.9725,0.2925,0.98,0.15,0.9775,0.2125,0.98,0.095,0.9825,0.2025,3,3,0,0,2,192,166,29,4,0,0,1,
800, 0.9875,0.165,0.9875,0.1575,0.99,0.1325,0.975,0.18,0.9925,0.1825,1,0,0,2,2,195,184,15,1,0,0,0,
900, 0.99,0.1075,0.99,0.1125,0.99,0.095,0.985,0.17,0.985,0.1475,2,0,0,0,2,196,182,17,1,0,0,0,
