gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.682297, d0W0.603446, d0W0.763446, d0W1.1623, d0W1.8, d1W1, d1W0.682297, d1W0.603446, d1W0.763446, d1W1.1623, d1W1.8, 
0, 0.9825,0.155,0.975,0.215,0.9875,0.2125,0.97,0.2075,0.9775,0.265,2,4,0,1,5,188,166,28,5,1,0,0,
100, 0.995,0.3,0.995,0.15,0.995,0.325,0.9975,0.2675,0.995,0.23,1,1,0,0,0,198,150,39,7,1,1,2,
200, 0.9975,0.175,1,0.17,0.995,0.2275,0.9975,0.185,0.9975,0.2025,0,1,0,0,0,199,171,24,1,0,0,4,
300, 0.9875,0.21,0.9775,0.1575,0.98,0.165,0.975,0.145,0.97,0.1825,1,1,2,1,1,194,171,26,3,0,0,0,
400, 0.985,0.1525,0.9875,0.17,0.995,0.2225,0.9825,0.135,0.9875,0.17,1,1,1,1,2,194,178,22,0,0,0,0,
500, 0.98,0.2175,0.98,0.19,0.975,0.1775,0.9775,0.1875,0.9825,0.2525,5,1,1,1,1,191,163,29,5,1,0,2,
600, 0.9875,0.2975,0.9925,0.2175,0.9775,0.255,0.985,0.1925,0.98,0.2175,2,1,1,0,4,192,159,29,6,0,1,5,
700, 0.9875,0.2825,0.98,0.28,0.9825,0.3025,0.9925,0.39,0.99,0.23,1,0,0,4,2,193,125,57,14,2,1,1,
800, 0.9925,0.21,0.995,0.3,0.995,0.205,0.9925,0.25,0.9925,0.225,1,1,1,0,1,196,158,38,2,0,0,2,
900, 0.9825,0.21,0.985,0.1925,0.985,0.15,0.99,0.13,0.985,0.1575,5,1,1,0,2,191,180,17,1,0,0,2,
