gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.602872, d0W0.504308, d0W0.704308, d0W1.20287, d0W2, d1W1, d1W0.602872, d1W0.504308, d1W0.704308, d1W1.20287, d1W2, 
0, 0.985,0.19,0.99,0.215,0.9875,0.1725,0.9875,0.23,0.99,0.1875,3,1,0,0,1,195,160,33,4,0,0,3,
100, 0.98,0.18,0.98,0.1475,0.975,0.2475,0.9725,0.1875,0.9775,0.165,2,5,0,0,0,193,177,20,0,0,0,3,
200, 0.9875,0.195,0.99,0.1475,0.99,0.2075,0.99,0.165,0.995,0.22,0,1,1,0,3,195,170,23,5,1,0,1,
300, 0.99,0.2225,0.995,0.2425,0.995,0.255,0.995,0.21,0.9875,0.2325,1,1,0,1,3,194,161,30,5,2,1,1,
400, 0.995,0.18,0.99,0.22,0.99,0.21,0.9925,0.2075,0.99,0.12,2,1,1,1,3,192,169,24,4,3,0,0,
500, 0.99,0.1725,0.9925,0.1575,0.99,0.1425,0.99,0.225,0.9875,0.15,3,0,0,0,1,196,182,16,1,0,0,1,
600, 0.9925,0.1825,0.9925,0.2125,0.99,0.1275,0.995,0.2325,0.9925,0.1825,1,1,0,1,1,196,174,20,3,1,0,2,
700, 0.9775,0.1825,0.9825,0.18,0.98,0.1425,0.98,0.2325,0.9775,0.3,2,1,1,1,0,195,161,29,5,2,0,3,
800, 0.99,0.175,0.98,0.2275,0.9825,0.2225,0.9825,0.1975,0.985,0.19,4,1,1,0,1,193,156,39,4,0,0,1,
900, 0.9825,0.165,0.9925,0.07,0.99,0.1475,0.9825,0.185,0.99,0.1325,4,1,0,0,1,194,166,31,3,0,0,0,
