gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.404308, d0W0.256462, d0W0.556462, d0W1.30431, d0W2.5, d1W1, d1W0.404308, d1W0.256462, d1W0.556462, d1W1.30431, d1W2.5, 
0, 0.98,0.2325,0.99,0.2125,0.9825,0.195,0.985,0.2225,0.995,0.25,3,2,3,2,1,189,161,29,3,3,2,2,
100, 0.995,0.2025,0.995,0.2,0.9975,0.2725,0.995,0.17,0.9925,0.1925,2,1,0,0,3,194,165,28,5,0,0,2,
200, 0.98,0.145,0.975,0.17,0.98,0.2425,0.98,0.1625,0.985,0.22,2,2,2,0,0,194,162,33,4,0,0,1,
300, 0.9875,0.1975,0.985,0.19,0.985,0.2,0.9875,0.155,0.9825,0.2125,2,0,0,0,1,197,176,21,2,0,0,1,
400, 0.9825,0.3125,0.985,0.24,0.9925,0.1775,0.985,0.1475,0.985,0.215,3,1,2,0,1,193,158,35,6,1,0,0,
500, 0.9925,0.325,0.9925,0.37,0.9925,0.3725,0.99,0.3675,0.99,0.32,0,1,0,0,0,199,126,44,9,12,2,7,
600, 0.98,0.3425,0.975,0.195,0.9775,0.2175,0.98,0.29,0.9775,0.2375,4,1,0,0,0,195,137,46,12,4,1,0,
700, 0.9975,0.185,0.995,0.2375,0.99,0.255,0.99,0.2425,0.9925,0.225,3,0,0,0,0,197,170,23,3,1,0,3,
800, 1,0.29,1,0.32,1,0.265,1,0.305,1,0.2875,1,0,0,0,0,199,136,47,8,5,0,4,
900, 0.995,0.2025,0.995,0.135,0.99,0.175,0.995,0.1825,0.995,0.15,2,0,3,0,0,195,168,28,1,0,2,1,
