gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.205744, d0W0.00861561, d0W0.408616, d0W1.40574, d0W3, d1W1, d1W0.205744, d1W0.00861561, d1W0.408616, d1W1.40574, d1W3, 
0, 0.9725,0.1275,0.97,0.1725,0.975,0.0975,0.9675,0.115,0.97,0.13,4,0,1,0,0,195,176,22,2,0,0,0,
100, 0.9875,0.14,0.9875,0.1325,0.9875,0.115,0.9875,0.115,0.9875,0.1625,1,0,0,0,0,199,184,15,0,0,0,1,
200, 0.995,0.13,0.995,0.1075,0.995,0.1,0.995,0.12,0.995,0.1575,0,0,1,0,0,199,186,12,1,1,0,0,
300, 0.9975,0.2025,0.9975,0.145,0.9975,0.155,1,0.1975,1,0.14,2,1,2,1,0,194,180,12,6,0,0,2,
400, 0.99,0.1525,0.99,0.1725,0.99,0.175,0.9925,0.2175,0.99,0.1525,2,0,0,0,0,198,183,12,2,0,0,3,
500, 0.9925,0.1675,0.995,0.14,0.995,0.1025,0.9925,0.15,0.995,0.1325,3,1,0,1,0,195,183,14,2,0,0,1,
600, 0.99,0.14,0.9875,0.1825,0.985,0.2325,0.9875,0.1275,0.99,0.1025,3,0,0,0,0,197,181,14,2,1,0,2,
700, 0.995,0.1575,0.9975,0.165,0.995,0.1475,0.995,0.11,0.995,0.065,2,0,2,0,0,196,181,18,1,0,0,0,
800, 0.9925,0.165,0.985,0.135,0.99,0.1575,0.9925,0.1525,0.9925,0.1575,3,2,0,0,0,195,180,15,2,0,0,3,
900, 0.9925,0.09,0.99,0.17,0.9925,0.1375,0.99,0.16,0.99,0.0925,0,0,0,0,0,200,181,15,3,0,0,1,
