gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0W1, d0W0.900798, d0W0.967464, d0W1.2, d1W1, d1W0.900798, d1W0.967464, d1W1.2, 
0, 0.9675,0.36,0.9925,0.4325,0.9775,0.09,0,2,22,176,144,45,11,0,
100, 0.9875,0.2875,0.9875,0.265,0.9875,0.26,2,5,4,189,164,32,2,2,
200, 0.995,0.25,0.98,0.3475,0.9925,0.2425,3,1,6,190,159,36,5,0,
300, 0.975,0.245,0.9775,0.3125,0.9825,0.35,3,2,15,180,151,43,5,1,
400, 0.985,0.26,0.99,0.285,0.9875,0.2475,1,0,5,194,166,29,4,1,
500, 1,0.2825,0.985,0.225,0.9925,0.4475,0,0,3,197,147,45,5,3,
600, 0.98,0.0975,0.995,0.27,0.99,0.125,0,2,13,185,171,26,1,2,
700, 0.985,0.185,0.9825,0.2325,0.9875,0.2025,1,0,6,193,176,22,2,0,
800, 0.9725,0.26,0.9875,0.2325,0.9875,0.2425,2,2,5,191,168,27,4,1,
900, 0.985,0.155,0.9825,0.275,0.9925,0.2275,1,1,1,197,169,28,3,0,
