gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.841149, d0W0.801723, d0W0.881723, d0W1.08115, d0W1.4, d1W1, d1W0.841149, d1W0.801723, d1W0.881723, d1W1.08115, d1W1.4, 
0, 0.99,0.3325,0.9775,0.37,0.98,0.1125,0.985,0.26,0.9825,0.3475,2,3,1,1,6,187,115,65,18,1,0,1,
100, 0.9875,0.315,0.9675,0.3225,0.975,0.29,0.9725,0.2975,0.9825,0.3225,4,3,6,1,10,176,128,54,14,2,0,2,
200, 0.9725,0.2575,0.945,0.2375,0.975,0.2925,0.96,0.2975,0.9725,0.2825,2,3,2,3,11,179,129,55,13,2,0,1,
300, 0.9775,0.1625,0.9825,0.18,0.9875,0.2,0.99,0.3275,0.99,0.3325,0,1,1,1,6,191,143,51,4,1,0,1,
400, 1,0.225,0.9925,0.295,0.9975,0.43,0.9875,0.19,1,0.3575,0,0,1,2,6,191,123,64,9,1,0,3,
500, 0.9875,0.295,0.9925,0.195,0.975,0.235,0.99,0.3,0.9725,0.0775,1,2,1,2,17,177,159,33,5,0,1,2,
600, 0.98,0.2575,0.985,0.215,0.985,0.305,0.98,0.17,0.9825,0.2275,1,1,3,3,4,188,159,36,2,0,0,3,
700, 0.98,0.45,0.9625,0.4075,0.975,0.3875,0.97,0.4375,0.945,0.2875,0,3,6,7,18,166,91,73,29,3,1,3,
800, 0.9825,0.345,0.9875,0.2675,0.985,0.3675,0.99,0.3075,0.9675,0.2275,1,0,5,4,11,179,128,57,12,1,0,2,
900, 0.98,0.1625,0.985,0.1325,0.9875,0.295,0.99,0.285,0.9825,0.215,2,0,1,0,8,189,153,41,4,0,1,1,
