gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.682297, d0W0.603446, d0W0.763446, d0W1.1623, d0W1.8, d1W1, d1W0.682297, d1W0.603446, d1W0.763446, d1W1.1623, d1W1.8, 
0, 0.9925,0.175,0.9925,0.29,0.99,0.1475,0.9925,0.215,0.9925,0.2325,2,0,0,0,3,195,175,21,3,0,0,1,
100, 0.9975,0.23,0.995,0.2,0.9975,0.2,0.9975,0.1475,0.995,0.165,1,2,0,0,1,196,171,25,3,0,1,0,
200, 0.9825,0.18,0.9875,0.1475,0.985,0.1475,0.985,0.0925,0.985,0.145,0,0,0,2,2,196,184,12,1,1,0,2,
300, 0.99,0.0675,0.99,0.0525,0.99,0.15,0.99,0.1,0.99,0.1625,0,2,1,0,2,195,189,9,2,0,0,0,
400, 0.9925,0.07,0.9975,0.135,0.995,0.085,0.9975,0.1275,0.9975,0.1625,0,2,0,0,0,198,180,19,0,0,0,1,
500, 0.995,0.095,0.995,0.195,0.9975,0.1075,0.99,0.12,0.9975,0.145,0,1,1,0,1,197,180,19,0,0,0,1,
600, 0.995,0.1275,0.995,0.11,0.995,0.195,1,0.1575,0.995,0.1725,1,0,0,1,4,194,171,27,2,0,0,0,
700, 0.9875,0.145,0.9875,0.2,0.985,0.1425,0.99,0.1325,0.995,0.21,0,2,0,2,3,193,176,19,2,0,0,3,
800, 0.9975,0.13,1,0.1775,1,0.1925,1,0.125,1,0.205,2,0,2,1,1,194,169,27,3,1,0,0,
900, 1,0.13,1,0.175,1,0.14,1,0.1,1,0.1125,1,0,0,0,1,198,183,15,2,0,0,0,
