gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.682297, d0W0.603446, d0W0.763446, d0W1.1623, d0W1.8, d1W1, d1W0.682297, d1W0.603446, d1W0.763446, d1W1.1623, d1W1.8, 
0, 0.995,0.175,0.995,0.2475,0.995,0.2225,0.995,0.185,0.995,0.2325,0,0,0,0,1,199,156,37,3,2,0,2,
100, 0.9875,0.18,0.99,0.2375,0.9875,0.12,0.9925,0.1825,0.9925,0.15,2,0,0,0,0,198,175,18,4,0,0,3,
200, 1,0.1525,0.9925,0.175,0.995,0.285,0.9925,0.075,0.9925,0.18,2,4,4,3,1,186,167,31,1,0,0,1,
300, 0.98,0.15,0.98,0.1925,0.9775,0.175,0.9775,0.3025,0.9775,0.175,4,1,0,2,3,190,173,19,6,1,1,0,
400, 0.9925,0.1725,0.99,0.1475,0.9925,0.2125,0.99,0.175,0.9925,0.165,2,0,3,0,0,195,174,21,4,1,0,0,
500, 0.995,0.215,0.985,0.145,0.9875,0.195,0.99,0.19,0.99,0.11,4,0,1,1,1,193,173,21,2,0,0,4,
600, 0.9875,0.135,0.985,0.23,0.975,0.1675,0.985,0.2025,0.985,0.205,5,1,0,0,6,188,168,27,2,0,0,3,
700, 0.9825,0.1925,0.985,0.215,0.9775,0.2175,0.9825,0.18,0.9825,0.145,2,0,0,0,2,196,165,27,2,0,0,6,
800, 0.975,0.2625,0.98,0.2425,0.975,0.1275,0.9725,0.2275,0.9775,0.31,3,1,0,0,0,196,155,36,4,2,0,3,
900, 0.9975,0.235,0.995,0.1775,0.9975,0.1575,0.995,0.19,0.9925,0.3,1,0,0,0,0,199,167,29,3,1,0,0,
