gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.682297, d0W0.603446, d0W0.763446, d0W1.1623, d0W1.8, d1W1, d1W0.682297, d1W0.603446, d1W0.763446, d1W1.1623, d1W1.8, 
0, 0.9925,0.215,0.9875,0.23,0.9875,0.31,0.98,0.235,0.985,0.26,2,0,2,4,8,184,148,41,8,0,0,3,
100, 0.985,0.165,0.985,0.1675,0.9875,0.1075,0.99,0.18,0.9875,0.19,6,1,2,0,2,189,174,24,2,0,0,0,
200, 0.9925,0.21,0.99,0.18,0.995,0.28,0.99,0.255,0.99,0.1575,1,0,1,1,5,192,167,29,2,0,0,2,
300, 0.995,0.1475,0.995,0.1475,0.9925,0.1475,0.9925,0.1375,0.9925,0.2125,3,1,0,0,0,196,179,18,1,1,0,1,
400, 0.99,0.2225,0.99,0.235,0.9875,0.195,0.9925,0.1875,0.9925,0.245,1,0,0,1,0,198,159,33,4,0,0,4,
500, 0.98,0.105,0.985,0.2,0.9775,0.265,0.9875,0.1075,0.985,0.255,3,2,0,0,0,195,169,26,5,0,0,0,
600, 0.99,0.08,0.99,0.1125,0.995,0.15,0.9975,0.1775,0.995,0.255,0,0,0,0,4,196,176,19,4,0,0,1,
700, 0.985,0.1275,0.985,0.19,0.9875,0.2025,0.985,0.1075,0.985,0.1375,1,0,0,0,1,198,172,27,1,0,0,0,
800, 0.98,0.0725,0.9775,0.17,0.9725,0.1625,0.9775,0.1125,0.9775,0.14,2,0,0,0,3,195,187,12,0,1,0,0,
900, 0.985,0.1175,0.9775,0.1575,0.985,0.1925,0.98,0.105,0.9925,0.21,3,0,1,2,3,191,178,20,0,0,0,2,
