gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.761723, d0W0.702585, d0W0.822585, d0W1.12172, d0W1.6, d1W1, d1W0.761723, d1W0.702585, d1W0.822585, d1W1.12172, d1W1.6, 
0, 0.9875,0.1675,0.985,0.2175,0.99,0.27,0.985,0.09,0.9875,0.225,0,0,0,0,0,200,171,24,3,1,0,1,
100, 0.9975,0.18,1,0.1675,0.995,0.0725,0.9975,0.2125,0.995,0.24,0,1,0,0,3,196,162,37,1,0,0,0,
200, 0.995,0.1575,0.99,0.05,0.9925,0.1625,0.99,0.085,0.9925,0.1925,1,0,0,0,0,199,184,16,0,0,0,0,
300, 0.9975,0.2525,1,0.12,0.9975,0.2225,1,0.1725,1,0.1225,0,1,0,2,3,194,175,21,0,0,0,4,
400, 0.9925,0.1425,0.99,0.095,0.995,0.13,0.99,0.175,0.9925,0.19,2,1,0,1,0,196,181,18,0,0,0,1,
500, 0.9775,0.1025,0.985,0.1225,0.99,0.185,0.98,0.1325,0.975,0.125,2,5,1,3,10,179,180,17,1,0,0,2,
600, 0.995,0.115,0.995,0.07,0.9825,0.0775,0.995,0.2275,0.995,0.2325,1,0,0,0,6,193,180,19,0,0,0,1,
700, 0.99,0.155,0.9925,0.1425,0.9825,0.1975,0.9825,0.135,0.9925,0.195,0,0,1,1,4,194,173,23,4,0,0,0,
800, 0.99,0.1425,0.995,0.2725,0.9875,0.1425,0.995,0.21,0.9975,0.105,1,1,1,1,8,188,171,25,3,1,0,0,
900, 0.99,0.145,0.99,0.1925,0.9875,0.1775,0.9875,0.1525,0.9925,0.24,4,1,3,5,6,181,170,26,3,0,0,1,
