gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.920574, d0W0.900862, d0W0.940862, d0W1.04057, d0W1.2, d1W1, d1W0.920574, d1W0.900862, d1W0.940862, d1W1.04057, d1W1.2, 
0, 0.99,0.195,0.99,0.1475,0.9925,0.185,0.98,0.235,0.9925,0.3725,0,0,0,0,5,195,148,46,5,0,0,1,
100, 0.97,0.0675,0.99,0.285,0.9575,0.3125,0.9675,0.1275,0.9875,0.1625,1,0,0,3,34,162,161,36,3,0,0,0,
200, 0.9975,0.135,0.9925,0.095,0.9975,0.285,0.995,0.095,1,0.17,1,1,0,0,2,196,162,34,2,0,0,2,
300, 0.98,0.1875,0.985,0.1425,0.9725,0.2275,0.9625,0.15,0.985,0.1925,1,2,5,6,11,175,162,36,2,0,0,0,
400, 0.9725,0.11,0.985,0.1925,0.98,0.3875,0.975,0.325,0.985,0.2225,0,0,1,7,9,183,133,61,6,0,0,0,
500, 0.9725,0.125,0.98,0.1725,0.99,0.165,0.985,0.2675,0.9625,0.165,1,2,0,0,21,176,173,24,1,1,0,1,
600, 0.9775,0.065,0.98,0.2525,0.9725,0.1725,0.97,0.16,0.9875,0.3275,2,0,2,6,29,161,158,37,4,0,0,1,
700, 0.995,0.0775,0.9975,0.3525,0.995,0.25,0.995,0.2725,0.9975,0.0625,1,1,2,0,3,193,157,40,2,0,0,1,
800, 0.965,0.07,0.96,0.2825,0.9925,0.41,0.98,0.1075,0.9925,0.2,0,0,0,3,30,167,143,51,4,1,0,1,
900, 0.9975,0.1975,0.99,0.36,1,0.3275,0.9925,0.315,0.98,0.2775,0,0,0,3,20,177,120,57,22,1,0,0,
