gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.404308, d0W0.256462, d0W0.556462, d0W1.30431, d0W2.5, d1W1, d1W0.404308, d1W0.256462, d1W0.556462, d1W1.30431, d1W2.5, 
0, 0.98,0.1775,0.9825,0.1575,0.985,0.18,0.985,0.1625,0.98,0.19,0,0,0,0,1,199,170,26,2,0,0,2,
100, 0.9925,0.115,0.9925,0.135,0.9925,0.14,0.9925,0.1025,0.995,0.175,1,0,0,0,0,199,176,22,1,0,0,1,
200, 0.995,0.2475,0.995,0.31,0.995,0.2675,0.9925,0.1725,0.9925,0.3,2,0,0,0,1,197,140,42,13,3,0,2,
300, 1,0.145,0.9975,0.2325,0.9975,0.19,0.9975,0.205,0.9975,0.195,2,0,0,0,0,198,165,27,4,2,0,2,
400, 0.9925,0.205,0.9925,0.23,0.9925,0.22,0.995,0.2175,0.9925,0.2,1,0,1,0,1,197,155,36,5,1,0,3,
500, 0.9975,0.175,0.9975,0.1575,1,0.1675,0.9975,0.1525,1,0.1425,1,3,0,0,0,196,174,22,2,1,0,1,
600, 0.9975,0.225,0.995,0.2625,0.9925,0.215,0.9925,0.2825,0.9925,0.275,3,0,2,1,0,194,155,35,6,0,0,4,
700, 0.985,0.2575,0.985,0.1975,0.99,0.18,0.9875,0.19,0.99,0.21,3,0,1,1,0,195,172,21,3,1,0,3,
800, 0.985,0.145,0.9825,0.185,0.9825,0.17,0.9825,0.145,0.9825,0.1425,3,0,0,0,0,197,176,22,0,0,0,2,
900, 0.9925,0.2275,0.9925,0.1925,0.995,0.22,0.995,0.19,0.995,0.2125,2,1,0,0,0,197,161,36,2,0,0,1,
