gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0l5, d1l5, d0l6, d1l6, d0l7, d1l7, d0l8, d1l8, d0l9, d1l9, d0W1, d0W0.952823, d0W0.920574, d0W0.903254, d0W0.900862, d0W0.913397, d0W0.940862, d0W0.983254, d0W1.04057, d0W1.11282, d0W1.2, d1W1, d1W0.952823, d1W0.920574, d1W0.903254, d1W0.900862, d1W0.913397, d1W0.940862, d1W0.983254, d1W1.04057, d1W1.11282, d1W1.2, 
0, 0.9775,0.3575,0.97,0.2875,0.9925,0.3925,0.985,0.415,0.975,0.215,0.99,0.2525,0.99,0.3125,0.985,0.2325,0.985,0.2975,0.975,0.5925,1,0,0,0,0,0,0,0,3,45,151,67,77,42,7,6,0,0,0,0,1,0,
100, 0.9875,0.4425,0.9775,0.0625,0.985,0.2325,0.9925,0.455,0.985,0.31,0.9775,0.315,0.9825,0.4325,0.965,0.165,0.975,0.39,0.985,0.445,0,0,1,0,2,3,5,6,3,19,161,60,74,46,16,3,1,0,0,0,0,0,
200, 0.995,0.1675,0.995,0.0725,0.995,0.0725,0.9975,0.125,0.96,0.235,0.9975,0.2475,0.9975,0.3875,0.995,0.085,0.995,0.52,0.995,0.2,0,1,0,0,0,0,0,0,0,15,184,100,74,22,4,0,0,0,0,0,0,0,
300, 0.9575,0.1775,0.97,0.1575,0.9875,0.19,0.985,0.1825,0.965,0.21,0.9975,0.375,0.9775,0.3325,0.8775,0.155,0.98,0.22,0.98,0.205,1,1,0,2,0,1,3,2,13,59,118,111,71,17,1,0,0,0,0,0,0,0,
400, 0.99,0.1525,1,0.4075,0.98,0.1825,0.9975,0.405,1,0.3475,1,0.2175,0.99,0.61,1,0,0.995,0.12,1,0.1525,0,0,0,0,0,0,0,2,1,5,192,61,87,43,9,0,0,0,0,0,0,0,
500, 0.975,0.2225,0.9775,0.0675,0.985,0.1375,0.9925,0.26,0.995,0.3,0.98,0.2025,0.965,0.215,0.98,0.175,0.975,0.1225,0.97,0.2525,1,0,0,1,0,0,1,6,8,23,160,121,67,12,0,0,0,0,0,0,0,0,
600, 0.99,0.3125,0.9875,0.395,0.99,0.1175,0.98,0.12,0.9975,0.3575,0.985,0.23,0.995,0.215,0.9975,0.5225,0.9875,0.13,0.98,0.3025,0,1,1,1,0,0,0,0,0,10,187,91,79,24,6,0,0,0,0,0,0,0,
700, 0.9675,0.44,0.985,0.19,0.9925,0.155,0.995,0.2075,1,0.49,0.9975,0.2,0.985,0.2,0.9925,0.2125,0.995,0.28,0.9775,0.3,0,0,1,0,0,0,0,0,2,22,175,89,72,28,7,4,0,0,0,0,0,0,
800, 1,0.3875,0.9975,0.2875,0.99,0.1425,0.9975,0.1525,0.97,0.2325,0.9975,0.355,0.9975,0.2125,0.9975,0.2675,0.9975,0.1625,0.9825,0.2325,1,0,0,0,0,0,0,0,0,16,183,110,75,12,2,1,0,0,0,0,0,0,
900, 0.995,0.18,0.9975,0.39,0.9925,0.2825,0.995,0.3225,0.995,0.525,0.995,0.31,0.9825,0.1675,0.995,0.2175,1,0.28,0.995,0.2875,0,0,0,0,0,0,0,0,2,13,185,60,74,49,16,1,0,0,0,0,0,0,
