gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.602872, d0W0.504308, d0W0.704308, d0W1.20287, d0W2, d1W1, d1W0.602872, d1W0.504308, d1W0.704308, d1W1.20287, d1W2, 
0, 0.99,0.2325,0.995,0.095,0.9925,0.14,0.995,0.2675,0.995,0.2475,2,1,0,0,4,193,157,37,6,0,0,0,
100, 0.9825,0.1925,0.9875,0.26,0.99,0.245,0.985,0.175,0.985,0.305,4,1,1,0,2,192,153,36,8,2,0,1,
200, 0.98,0.305,0.985,0.32,0.9825,0.1975,0.9875,0.335,0.9825,0.265,2,2,1,2,3,190,142,46,7,3,0,2,
300, 0.9775,0.3325,0.9725,0.2525,0.975,0.27,0.9725,0.2675,0.975,0.29,2,0,4,3,0,191,128,52,15,1,1,3,
400, 0.985,0.155,0.99,0.1475,0.99,0.2325,0.9875,0.1725,0.985,0.1725,1,1,2,4,0,192,172,22,3,2,0,1,
500, 0.9775,0.2675,0.965,0.275,0.9725,0.225,0.9725,0.2425,0.9725,0.2725,4,4,1,2,1,188,143,48,9,0,0,0,
600, 0.99,0.3025,0.9875,0.2975,0.99,0.3225,0.99,0.2575,0.9875,0.2375,2,1,1,0,2,194,152,34,8,1,2,3,
700, 1,0.29,1,0.3125,0.995,0.2325,0.9975,0.265,0.9975,0.26,1,0,1,1,0,197,134,37,20,5,1,3,
800, 0.9775,0.24,0.975,0.305,0.9825,0.25,0.9875,0.31,0.9825,0.255,1,0,2,1,2,194,145,38,9,5,1,2,
900, 0.975,0.2825,0.98,0.3275,0.97,0.28,0.97,0.2775,0.98,0.28,3,0,2,0,3,192,135,36,22,1,3,3,
