gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.841149, d0W0.801723, d0W0.881723, d0W1.08115, d0W1.4, d1W1, d1W0.841149, d1W0.801723, d1W0.881723, d1W1.08115, d1W1.4, 
0, 0.975,0.3075,0.98,0.315,0.96,0.235,0.99,0.4325,0.9825,0.2175,1,2,1,4,11,181,115,71,12,1,0,1,
100, 0.985,0.245,0.99,0.3425,0.995,0.265,0.9825,0.2325,0.9875,0.2475,3,0,1,3,5,188,132,56,11,0,0,1,
200, 0.985,0.3275,0.99,0.3525,0.9825,0.2925,0.9875,0.285,0.985,0.2775,5,0,1,0,5,189,135,54,8,1,0,2,
300, 0.9925,0.2925,0.975,0.3175,0.99,0.28,0.975,0.2275,0.985,0.1775,1,1,2,8,7,181,136,53,9,0,0,2,
400, 0.9875,0.2275,0.98,0.2375,0.9925,0.285,0.9925,0.1675,0.9825,0.125,1,2,0,1,8,188,156,40,2,0,0,2,
500, 1,0.2525,0.9975,0.4325,0.995,0.3125,0.98,0.4175,0.9875,0.195,0,0,2,0,4,194,106,75,14,4,1,0,
600, 0.9625,0.3375,0.9675,0.29,0.9575,0.3375,0.97,0.3875,0.9575,0.26,4,7,1,2,5,181,130,47,17,3,0,3,
700, 0.9875,0.3875,0.995,0.1775,0.9875,0.3025,0.965,0.32,0.995,0.4575,3,1,1,2,8,185,110,68,18,2,0,2,
800, 0.9775,0.135,0.9725,0.155,0.9675,0.2025,0.9575,0.3225,0.9725,0.2525,4,7,4,4,10,171,156,37,5,1,0,1,
900, 0.975,0.23,0.9825,0.2275,0.97,0.295,0.9725,0.165,0.9975,0.3575,1,1,2,0,9,187,139,48,8,2,0,3,
