gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.761723, d0W0.702585, d0W0.822585, d0W1.12172, d0W1.6, d1W1, d1W0.761723, d1W0.702585, d1W0.822585, d1W1.12172, d1W1.6, 
0, 0.975,0.1925,0.9725,0.225,0.9775,0.255,0.9825,0.2275,0.98,0.1875,4,0,0,0,12,184,166,29,3,0,1,1,
100, 0.99,0.2325,0.9925,0.1725,0.9925,0.31,0.99,0.25,0.9925,0.2825,1,1,0,0,0,198,151,41,4,0,0,4,
200, 0.99,0.1275,0.9925,0.215,0.9875,0.16,0.9925,0.185,0.9925,0.24,1,4,0,0,0,195,165,32,2,0,0,1,
300, 0.9925,0.2925,0.9925,0.2925,0.99,0.3,0.9925,0.25,0.9925,0.215,2,2,3,2,1,190,139,50,11,0,0,0,
400, 0.98,0.1775,0.9625,0.315,0.9825,0.27,0.98,0.245,0.9775,0.2975,1,1,0,0,5,193,146,46,7,0,0,1,
500, 0.9975,0.2025,0.995,0.1675,0.995,0.2525,0.9925,0.13,0.995,0.245,0,0,0,1,0,199,164,32,3,0,0,1,
600, 0.985,0.1525,0.9875,0.1125,0.995,0.13,0.9875,0.2775,0.985,0.24,2,0,1,2,1,194,162,29,8,0,0,1,
700, 0.98,0.175,0.975,0.1175,0.98,0.115,0.98,0.1725,0.98,0.1275,4,2,0,0,3,191,186,12,2,0,0,0,
800, 0.985,0.1675,0.97,0.175,0.975,0.3225,0.9825,0.1325,0.975,0.2175,1,2,1,2,6,188,152,42,6,0,0,0,
900, 0.9725,0.16,0.975,0.1125,0.98,0.2,0.9775,0.145,0.9775,0.17,1,2,2,1,3,191,164,33,1,0,0,2,
