gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.920574, d0W0.900862, d0W0.940862, d0W1.04057, d0W1.2, d1W1, d1W0.920574, d1W0.900862, d1W0.940862, d1W1.04057, d1W1.2, 
0, 0.99,0.27,0.9475,0.3175,0.995,0.39,0.9975,0.385,0.9925,0.3825,0,0,0,0,19,181,104,73,18,3,1,1,
100, 0.97,0.135,0.98,0.475,0.9675,0.285,0.98,0.265,0.97,0.105,1,3,2,4,19,171,130,60,9,0,0,1,
200, 0.995,0.17,0.99,0.145,0.99,0.185,0.97,0.0675,0.98,0.325,1,2,1,5,11,180,176,20,3,1,0,0,
300, 0.9875,0.3725,0.9925,0.5125,0.975,0.1375,0.9775,0.5125,0.9975,0.3625,0,0,1,3,18,178,91,66,34,8,0,1,
400, 0.9875,0.5425,0.98,0.39,0.98,0.34,0.9775,0.1225,0.9575,0.3675,3,1,0,2,8,186,96,79,22,2,1,0,
500, 0.975,0.08,0.955,0.205,0.99,0.2925,0.9825,0.1375,0.96,0.575,0,1,0,4,43,152,116,74,10,0,0,0,
600, 0.97,0.46,0.975,0.2675,0.98,0.2125,0.9825,0.2225,0.9825,0.4125,0,2,2,8,10,178,121,60,17,2,0,0,
700, 0.9725,0.46,0.975,0.3125,0.9875,0.31,0.975,0.255,0.9325,0.0775,1,0,1,4,26,168,112,68,19,1,0,0,
800, 0.93,0.2775,0.9725,0.235,0.9875,0.2125,0.975,0.415,0.9725,0.44,0,0,1,6,48,145,108,65,19,5,3,0,
900, 0.995,0.1225,0.99,0.485,0.99,0.3,0.9925,0.4075,0.985,0.1525,0,0,0,1,7,192,119,65,13,3,0,0,
