3,0.0022,0.005
5,0.004,0.01
10,0.0025,0.01
20,0.0007,0.00153,0.0022,0.005
5,0.004,0.01
10,0.0025,0.01
20,0.0007,0.00153,0.0022,0.005
5,0.004,0.01
10,0.0025,0.01
20,0.0007,0.00153,0.0022,0.005
5,0.004,0.01
10,0.0025,0.01
20,0.0007,0.00153,0.0022,0.005
5,0.004,0.01
10,0.0025,0.01
20,0.0007,0.00153,0.0022,0.005
5,0.004,0.01
10,0.0025,0.01
20,0.0007,0.00153,0.0022,0.005
5,0.004,0.01
10,0.0025,0.01
20,0.0007,0.00153,0.0022,0.005
5,0.004,0.01
10,0.0025,0.01
20,0.0007,0.00153,0.0022,0.005
5,0.004,0.01
10,0.0025,0.01
20,0.0007,0.00153,0.0022,0.005
5,0.004,0.01
10,0.0025,0.01
20,0.0007,0.00153,0.0022,0.005
5,0.004,0.01
10,0.0025,0.01
20,0.0007,0.00153,0.0022,0.005
5,0.004,0.01
10,0.0025,0.01
20,0.0007,0.00153,0.0022,0.005
5,0.004,0.01
10,0.0025,0.01
20,0.0007,0.00153,0.0022,0.005
5,0.004,0.01
10,0.0025,0.01
20,0.0007,0.00153,0.0022,0.005
5,0.004,0.01
10,0.0025,0.01
20,0.0007,0.0015
