gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.682297, d0W0.603446, d0W0.763446, d0W1.1623, d0W1.8, d1W1, d1W0.682297, d1W0.603446, d1W0.763446, d1W1.1623, d1W1.8, 
0, 0.985,0.2575,0.9875,0.2775,0.9925,0.3625,0.9875,0.2725,0.99,0.2675,2,0,1,1,0,196,126,50,18,3,0,3,
100, 0.9975,0.2625,0.9925,0.245,0.9975,0.26,0.9975,0.3025,0.9975,0.235,2,2,2,1,1,192,138,46,14,1,1,0,
200, 0.9825,0.2675,0.98,0.18,0.9875,0.2275,0.97,0.225,0.9675,0.245,4,4,0,3,6,183,167,30,1,1,0,1,
300, 0.9975,0.235,0.995,0.1675,0.995,0.24,0.9875,0.135,1,0.195,1,0,1,4,4,190,157,38,3,2,0,0,
400, 0.9975,0.335,0.995,0.1275,0.9875,0.28,0.995,0.275,0.9975,0.185,0,1,0,3,2,194,146,45,6,1,0,2,
500, 0.995,0.155,0.9925,0.22,0.9925,0.21,0.9925,0.1025,0.995,0.2175,0,0,2,0,0,198,176,21,0,1,0,2,
600, 0.99,0.2675,0.985,0.225,0.99,0.26,0.975,0.26,0.985,0.2675,4,2,1,2,3,188,143,47,9,0,0,1,
700, 0.995,0.3275,0.9875,0.2325,0.98,0.235,0.99,0.2975,0.99,0.2675,2,0,0,0,5,193,137,48,11,2,0,2,
800, 0.99,0.2825,0.9925,0.32,0.99,0.2925,0.99,0.3475,0.9875,0.33,2,1,0,2,2,193,137,52,7,0,2,2,
900, 0.975,0.1275,0.97,0.2575,0.97,0.2575,0.9775,0.1825,0.96,0.195,7,2,0,4,10,177,152,35,11,1,0,1,
