gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.602872, d0W0.504308, d0W0.704308, d0W1.20287, d0W2, d1W1, d1W0.602872, d1W0.504308, d1W0.704308, d1W1.20287, d1W2, 
0, 0.9725,0.255,0.98,0.2975,0.9675,0.215,0.955,0.25,0.9775,0.2725,9,0,0,0,5,186,165,28,3,0,0,4,
100, 0.98,0.31,0.98,0.2925,0.98,0.2625,0.985,0.32,0.9875,0.3175,0,1,1,3,4,191,150,35,6,3,0,6,
200, 0.98,0.2625,0.9775,0.2875,0.98,0.33,0.9775,0.275,0.9775,0.295,2,2,0,1,0,195,134,50,13,0,0,3,
300, 0.9925,0.4725,0.9975,0.48,0.9925,0.545,0.9925,0.4625,0.9925,0.36,1,2,0,1,1,195,80,72,26,10,5,7,
400, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
500, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
600, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
700, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
800, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
900, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
