gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.602872, d0W0.504308, d0W0.704308, d0W1.20287, d0W2, d1W1, d1W0.602872, d1W0.504308, d1W0.704308, d1W1.20287, d1W2, 
0, 0.9975,0.3075,0.9975,0.2225,1,0.235,0.9975,0.23,0.9975,0.32,2,0,1,0,0,197,145,42,8,2,1,2,
100, 0.99,0.325,0.9975,0.205,0.9925,0.2075,0.995,0.2075,0.9875,0.16,2,1,0,0,2,195,155,41,2,1,0,1,
200, 0.9775,0.225,0.985,0.29,0.985,0.2175,0.9825,0.17,0.9875,0.23,1,2,0,1,1,195,158,35,6,0,0,1,
300, 1,0.19,1,0.21,1,0.155,1,0.2075,1,0.1425,0,0,1,0,0,199,178,20,1,0,0,1,
400, 0.98,0.205,0.9825,0.285,0.9775,0.21,0.9775,0.2225,0.9825,0.2,4,1,0,0,0,195,162,27,7,0,1,3,
500, 0.9825,0.1925,0.9875,0.1875,0.99,0.27,0.99,0.1125,0.985,0.1775,1,3,2,2,1,191,163,32,5,0,0,0,
600, 0.9875,0.2475,0.9875,0.22,0.9925,0.2325,0.9875,0.1425,0.99,0.22,2,2,0,5,4,187,163,31,3,1,0,2,
700, 0.98,0.225,0.9775,0.1875,0.9875,0.31,0.985,0.2875,0.98,0.2225,0,1,1,1,1,196,136,45,15,3,0,1,
800, 0.9825,0.2775,0.985,0.225,0.9825,0.2225,0.98,0.2275,0.985,0.265,2,1,0,1,1,195,157,34,6,1,0,2,
900, 0.9825,0.315,0.985,0.2825,0.9825,0.305,0.975,0.295,0.985,0.2375,3,3,0,0,0,194,139,50,6,2,0,3,
