gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.761723, d0W0.702585, d0W0.822585, d0W1.12172, d0W1.6, d1W1, d1W0.761723, d1W0.702585, d1W0.822585, d1W1.12172, d1W1.6, 
0, 0.995,0.3225,0.985,0.3125,0.995,0.405,0.9975,0.3325,1,0.3625,1,0,1,0,4,194,109,69,20,1,0,1,
100, 0.98,0.305,0.985,0.325,0.99,0.3375,0.9825,0.2675,0.9825,0.2525,0,0,1,1,2,196,121,52,22,2,0,3,
200, 0.99,0.285,0.9925,0.37,0.9825,0.3325,0.9825,0.27,0.9875,0.3675,1,0,1,2,5,191,112,61,18,8,0,1,
300, 0.9825,0.2725,0.98,0.2125,0.98,0.32,0.98,0.3075,0.9725,0.2375,5,2,0,1,8,184,152,43,4,1,0,0,
400, 0.99,0.2725,0.98,0.2225,0.9825,0.235,0.985,0.16,0.98,0.245,5,4,2,1,1,187,144,46,8,0,0,2,
500, 0.98,0.1725,0.98,0.17,0.975,0.25,0.985,0.1875,0.9875,0.26,1,1,2,4,5,187,169,27,4,0,0,0,
600, 0.9875,0.3925,0.96,0.4125,0.975,0.385,0.9775,0.3575,0.9825,0.3675,1,3,3,4,16,173,97,68,28,4,0,3,
700, 0.9875,0.3475,0.985,0.25,0.985,0.26,0.9725,0.26,0.98,0.2675,3,4,2,2,6,183,137,46,15,1,0,1,
800, 0.99,0.305,0.9925,0.2925,0.99,0.24,0.9875,0.28,0.9825,0.245,0,1,2,0,7,190,133,60,4,3,0,0,
900, 0.99,0.2075,0.985,0.345,0.9925,0.145,0.995,0.205,0.9975,0.275,1,1,3,2,4,189,143,48,7,0,0,2,
