gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.841149, d0W0.801723, d0W0.881723, d0W1.08115, d0W1.4, d1W1, d1W0.841149, d1W0.801723, d1W0.881723, d1W1.08115, d1W1.4, 
0, 0.975,0.175,0.985,0.11,0.99,0.1825,0.99,0.235,0.9725,0.04,0,2,1,0,13,184,178,20,1,0,0,1,
100, 0.99,0.27,0.9825,0.19,0.98,0.16,0.9775,0.28,0.9875,0.1425,5,2,1,0,0,192,177,18,2,0,1,2,
200, 0.99,0.1475,0.99,0.3425,0.9825,0.1325,1,0.225,0.9875,0.1425,2,0,1,1,2,194,151,46,3,0,0,0,
300, 0.99,0.1575,0.9925,0.295,0.995,0.2475,0.995,0.1775,0.995,0.1625,1,0,0,0,1,198,159,35,5,0,0,1,
400, 0.975,0.335,0.955,0.24,0.9625,0.2,0.9625,0.1825,0.9675,0.2075,3,3,0,7,17,170,154,40,3,0,0,3,
500, 1,0.1875,1,0.15,1,0.1475,1,0.2,0.9975,0.1825,0,0,0,0,3,197,171,24,4,0,0,1,
600, 0.9925,0.0775,0.9925,0.14,0.9925,0.12,0.9975,0.225,0.9975,0.11,1,0,0,0,7,192,186,11,3,0,0,0,
700, 0.975,0.1625,0.98,0.1625,0.975,0.3075,0.975,0.1625,0.9675,0.19,3,0,0,0,12,185,171,25,3,0,0,1,
800, 0.9875,0.14,0.98,0.1375,0.9775,0.0825,0.9825,0.105,0.975,0.2575,2,2,0,0,2,194,174,25,0,1,0,0,
900, 0.99,0.055,0.99,0.1775,0.99,0.115,0.99,0.0825,0.995,0.2475,0,0,0,0,1,199,178,21,0,0,0,1,
