gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.205744, d0W0.00861561, d0W0.408616, d0W1.40574, d0W3, d1W1, d1W0.205744, d1W0.00861561, d1W0.408616, d1W1.40574, d1W3, 
0, 0.995,0.0975,0.995,0.0375,0.9925,0.075,0.995,0.0725,0.995,0.0875,0,0,0,0,1,199,194,5,0,0,0,1,
100, 0.9825,0.0925,0.9825,0.1225,0.98,0.0725,0.98,0.07,0.9825,0.115,1,0,0,0,0,199,194,5,0,0,0,1,
200, 1,0.0975,1,0.11,1,0.0825,1,0.1525,1,0.1375,0,0,0,0,0,200,195,4,0,0,0,1,
300, 0.995,0.0775,0.995,0.0475,0.995,0.1,0.9975,0.0625,0.9975,0.08,0,0,0,0,0,200,191,9,0,0,0,0,
400, 0.9975,0.0675,0.9975,0.1075,0.9975,0.065,0.9975,0.085,0.9975,0.0975,2,0,0,0,0,198,197,3,0,0,0,0,
500, 0.99,0.09,0.9925,0.1375,0.9925,0.11,0.99,0.0925,0.9925,0.0775,2,0,0,0,0,198,196,2,0,0,0,2,
600, 0.995,0.04,0.995,0.0475,0.995,0.0825,0.995,0.0975,0.995,0.06,1,0,0,0,0,199,193,7,0,0,0,0,
700, 0.9925,0.0625,0.9925,0.1375,0.9925,0.1475,0.99,0.05,0.99,0.06,2,0,0,0,1,197,192,6,1,0,0,1,
800, 1,0.095,1,0.0925,1,0.135,1,0.075,1,0.1425,3,0,0,0,0,197,183,11,3,1,0,2,
900, 0.9975,0.1225,0.9975,0.0775,0.9975,0.1,0.9975,0.0875,0.9975,0.085,1,0,0,0,0,199,191,9,0,0,0,0,
