gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0l5, d1l5, d0l6, d1l6, d0l7, d1l7, d0l8, d1l8, d0l9, d1l9, d0W1, d0W0.952823, d0W0.920574, d0W0.903254, d0W0.900862, d0W0.913397, d0W0.940862, d0W0.983254, d0W1.04057, d0W1.11282, d0W1.2, d1W1, d1W0.952823, d1W0.920574, d1W0.903254, d1W0.900862, d1W0.913397, d1W0.940862, d1W0.983254, d1W1.04057, d1W1.11282, d1W1.2, 
0, 1,0.245,0.995,0.0475,1,0.055,1,0.105,1,0.0375,1,0.1375,1,0.1875,1,0.1575,1,0.04,0.975,0.2825,0,0,0,0,0,0,0,1,3,9,187,152,43,5,0,0,0,0,0,0,0,0,
100, 1,0.1275,1,0.185,1,0.1075,1,0.0125,1,0.17,0.9825,0.0575,0.995,0.2225,1,0.105,0.995,0.0425,1,0.0275,0,0,0,0,0,0,0,0,0,22,178,167,29,4,0,0,0,0,0,0,0,0,
200, 0.985,0.1475,0.9975,0.2875,1,0.165,0.9775,0.05,0.99,0.175,0.995,0.1175,0.9775,0.1475,0.9825,0.4,0.97,0.04,0.995,0.03,0,0,0,0,0,0,0,0,4,39,157,133,52,14,0,0,0,0,0,0,0,1,
300, 0.98,0.05,0.9975,0.3325,1,0.3025,0.9925,0,0.965,0.0375,1,0.43,0.98,0.265,0.9875,0.1225,0.945,0.0325,0.9925,0.15,0,0,0,0,0,0,1,1,3,59,136,127,55,14,3,1,0,0,0,0,0,0,
400, 1,0.015,1,0.2075,1,0.3025,1,0.095,1,0.2225,1,0.375,1,0.0925,1,0.16,1,0.105,0.99,0.165,0,0,0,0,0,0,0,0,0,7,193,129,60,11,0,0,0,0,0,0,0,0,
500, 1,0,1,0.155,0.9875,0.165,0.9975,0.1725,0.99,0.2725,1,0.2275,1,0.1875,0.9925,0.02,0.98,0.005,0.9775,0.105,0,0,0,0,0,0,0,0,3,22,175,143,54,2,1,0,0,0,0,0,0,0,
600, 1,0.1075,1,0.155,1,0.22,1,0.1275,1,0.2125,0.9975,0.0375,1,0.095,1,0.1075,0.9925,0.0575,1,0.325,0,0,0,0,0,0,0,0,0,6,194,150,44,5,1,0,0,0,0,0,0,0,
700, 0.965,0.005,1,0.0325,0.9675,0.14,1,0.2,0.9875,0.02,0.9725,0.09,1,0.0175,1,0.02,0.9475,0.09,1,0.4525,0,0,0,0,0,0,0,1,10,39,150,146,50,4,0,0,0,0,0,0,0,0,
800, 1,0.025,0.985,0.09,1,0.17,1,0.025,1,0.06,0.9725,0.2525,0.9725,0.195,0.97,0.005,1,0.0775,0.9825,0.1375,0,0,0,0,0,0,0,0,5,34,161,175,25,0,0,0,0,0,0,0,0,0,
900, 0.9975,0.075,0.995,0.0575,0.995,0.045,0.9925,0.0925,0.9925,0.1225,0.9925,0.16,0.9925,0.1175,0.9925,0.2775,0.9925,0.02,0.9925,0.205,1,0,0,0,0,0,0,0,0,0,199,157,41,2,0,0,0,0,0,0,0,0,
