gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.205744, d0W0.00861561, d0W0.408616, d0W1.40574, d0W3, d1W1, d1W0.205744, d1W0.00861561, d1W0.408616, d1W1.40574, d1W3, 
0, 1,0.1975,1,0.2125,1,0.215,1,0.2125,1,0.1825,1,1,0,0,1,197,165,27,4,1,0,3,
100, 0.9775,0.19,0.98,0.135,0.9825,0.1425,0.98,0.1425,0.9775,0.2,2,3,0,0,0,195,169,26,3,0,0,2,
200, 0.985,0.125,0.9875,0.125,0.985,0.0825,0.9875,0.0925,0.99,0.1325,0,0,0,0,0,200,190,7,1,0,0,2,
300, 1,0.235,1,0.1575,1,0.165,1,0.1875,1,0.215,1,0,0,0,0,199,154,33,12,1,0,0,
400, 0.9825,0.1825,0.9775,0.13,0.98,0.2025,0.9825,0.1325,0.9825,0.16,3,0,0,0,0,197,189,9,0,0,0,2,
500, 1,0.1525,0.995,0.1325,0.9975,0.1525,0.9975,0.18,0.995,0.1575,0,0,0,0,0,200,180,16,1,1,0,2,
600, 0.9925,0.19,0.9925,0.215,0.9925,0.1575,0.9925,0.21,0.995,0.2325,2,0,0,0,0,198,173,21,2,1,0,3,
700, 0.98,0.1625,0.98,0.1275,0.9825,0.125,0.985,0.12,0.98,0.155,2,0,1,1,0,196,182,17,0,0,0,1,
800, 0.9775,0.16,0.9825,0.125,0.98,0.105,0.9775,0.12,0.9775,0.13,3,0,0,0,0,197,184,13,2,0,0,1,
900, 0.995,0.1525,0.995,0.14,0.995,0.16,0.995,0.185,1,0.115,3,1,0,0,1,195,169,28,3,0,0,0,
