gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0W1, d0W0.900798, d0W0.967464, d0W1.2, d1W1, d1W0.900798, d1W0.967464, d1W1.2, 
0, 0.985,0.14,0.9625,0.09,0.9675,0.2025,3,2,19,176,189,11,0,0,
100, 0.985,0.225,0.9325,0.2675,0.99,0.2675,1,1,18,180,159,38,3,0,
200, 0.9925,0.0575,0.9875,0.1525,0.995,0.065,1,0,3,196,194,6,0,0,
300, 1,0.2175,1,0.125,1,0.0525,0,0,1,199,190,10,0,0,
400, 1,0.1625,1,0.1275,1,0.185,0,0,0,200,182,18,0,0,
500, 0.9925,0.145,0.9925,0.2725,0.995,0.26,1,0,0,199,165,31,4,0,
600, 0.995,0.15,0.97,0.0275,0.9975,0.41,0,0,13,187,171,26,2,1,
700, 0.995,0.2,1,0.11,1,0.0975,0,0,3,197,190,9,1,0,
800, 0.99,0.0175,0.9975,0.035,1,0.125,2,0,3,195,195,4,0,1,
900, 0.975,0.035,0.9925,0.02,0.97,0.055,3,4,7,186,198,1,0,1,
