gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.841149, d0W0.801723, d0W0.881723, d0W1.08115, d0W1.4, d1W1, d1W0.841149, d1W0.801723, d1W0.881723, d1W1.08115, d1W1.4, 
0, 0.9875,0.1975,0.9925,0.15,0.99,0.005,0.99,0.14,0.9875,0.0475,2,0,0,1,0,197,182,18,0,0,0,0,
100, 1,0.12,1,0.1725,1,0.015,1,0.1225,1,0.0275,0,0,0,0,0,200,190,10,0,0,0,0,
200, 0.99,0.025,0.995,0.07,0.99,0.0725,0.995,0.075,0.995,0.09,0,0,0,0,2,198,194,6,0,0,0,0,
300, 0.99,0,0.985,0.025,0.99,0.015,0.9875,0.0225,0.9825,0,0,1,3,1,2,193,199,1,0,0,0,0,
400, 1,0.06,1,0.0375,1,0.045,1,0.0425,1,0.0225,1,0,0,0,0,199,200,0,0,0,0,0,
500, 0.9925,0.0175,0.995,0.0125,0.995,0.0225,0.995,0.0175,0.995,0.01,0,0,0,0,3,197,200,0,0,0,0,0,
600, 1,0.0125,1,0.065,1,0.0025,1,0.0225,1,0.03,0,0,0,0,0,200,198,2,0,0,0,0,
700, 1,0.1175,1,0.0725,1,0.01,1,0.0275,1,0.055,0,0,0,0,0,200,197,3,0,0,0,0,
800, 1,0.12,1,0.125,1,0.0125,1,0.005,1,0.0375,0,0,0,0,0,200,196,4,0,0,0,0,
900, 0.9925,0.1025,0.995,0.1,0.9925,0.14,0.9925,0.0675,0.9925,0.0525,1,0,0,0,1,198,192,7,1,0,0,0,
