gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.682297, d0W0.603446, d0W0.763446, d0W1.1623, d0W1.8, d1W1, d1W0.682297, d1W0.603446, d1W0.763446, d1W1.1623, d1W1.8, 
0, 0.9825,0.04,0.99,0.1725,0.985,0.145,0.9875,0.11,0.985,0.095,3,1,0,0,5,191,185,14,0,0,0,1,
100, 0.9975,0.13,0.9975,0.1875,0.9975,0.1375,0.9975,0.1425,0.9975,0.05,1,1,0,0,2,196,178,21,1,0,0,0,
200, 0.9925,0.1725,0.9825,0.175,0.99,0.17,0.99,0.1775,0.995,0.1625,1,2,2,0,1,194,176,22,1,0,0,1,
300, 0.9925,0.155,0.9975,0.105,0.995,0.155,0.9925,0.15,0.9975,0.175,2,0,1,3,0,194,184,14,1,0,0,1,
400, 0.9825,0.1025,0.985,0.165,0.99,0.1625,0.9875,0.17,0.985,0.0875,2,0,0,1,0,197,181,18,1,0,0,0,
500, 0.985,0.1275,0.9975,0.1875,0.995,0.205,1,0.325,0.9975,0.2275,5,0,1,2,4,188,170,25,2,0,0,3,
600, 0.995,0.155,0.995,0.1775,0.99,0.1675,0.995,0.235,0.995,0.2475,0,0,0,0,4,196,173,26,1,0,0,0,
700, 0.9975,0.21,0.9925,0.1675,0.99,0.2525,0.995,0.17,0.995,0.1975,0,0,0,2,2,196,159,35,4,0,0,2,
800, 0.9925,0.13,0.985,0.2175,0.995,0.085,0.9875,0.08,0.9875,0.16,2,1,1,2,3,191,178,20,1,0,0,1,
900, 1,0.1125,1,0.16,1,0.2425,1,0.08,1,0.0875,0,0,0,0,1,199,176,23,1,0,0,0,
