gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0W1, d0W0.900798, d0W0.967464, d0W1.2, d1W1, d1W0.900798, d1W0.967464, d1W1.2, 
0, 0.985,0.165,0.9825,0.1425,0.98,0.29,4,1,6,189,175,25,0,0,
100, 0.9825,0.1875,0.9775,0.1525,0.995,0.1625,0,3,10,187,180,20,0,0,
200, 0.9925,0.2125,0.995,0.0375,0.995,0.19,0,0,4,196,188,11,0,1,
300, 0.985,0.2525,0.9875,0.1375,0.9825,0.1625,1,0,10,189,185,13,2,0,
400, 0.9825,0.135,0.97,0.0475,0.9775,0.18,3,1,2,194,186,14,0,0,
500, 0.9725,0.165,0.9725,0.3125,0.965,0.0275,2,2,11,185,176,24,0,0,
600, 0.995,0.165,0.9975,0.4375,0.9775,0.15,0,0,6,194,155,41,3,1,
700, 0.9925,0.2625,1,0.225,1,0.35,0,0,1,199,159,39,2,0,
800, 0.985,0.1425,0.9925,0.3,0.995,0.2125,1,0,6,193,178,22,0,0,
900, 0.9975,0.2025,1,0.23,0.9925,0.2675,1,0,8,191,171,25,3,1,
