gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.920574, d0W0.900862, d0W0.940862, d0W1.04057, d0W1.2, d1W1, d1W0.920574, d1W0.900862, d1W0.940862, d1W1.04057, d1W1.2, 
0, 0.975,0.1325,0.99,0.11,0.99,0.27,0.9825,0.0325,0.9875,0.1225,0,0,0,0,12,188,176,22,2,0,0,0,
100, 0.975,0.1625,0.9575,0.145,0.985,0.1325,0.975,0.195,0.9875,0.2775,1,2,0,4,26,167,151,44,4,0,0,1,
200, 0.965,0.2625,0.9825,0.1925,0.99,0.1825,0.9825,0.0825,0.9825,0.155,1,2,1,2,17,177,176,21,2,0,0,1,
300, 0.995,0.335,1,0.375,1,0.27,0.995,0.22,0.99,0.115,1,0,0,2,5,192,126,66,8,0,0,0,
400, 0.975,0.21,0.9725,0.225,0.9675,0.24,0.99,0.2075,0.9425,0.27,1,0,1,5,27,166,159,34,5,2,0,0,
500, 0.9825,0.27,0.995,0.22,0.9925,0.25,0.995,0.28,0.99,0.3475,2,1,2,0,3,192,136,52,10,1,0,1,
600, 0.98,0.395,0.9725,0.1375,0.985,0.2625,0.94,0.3725,0.96,0.1525,2,0,0,6,29,163,127,61,8,2,0,2,
700, 0.985,0.215,0.98,0.295,0.9825,0.295,0.99,0.2725,0.9875,0.22,0,1,1,0,4,194,135,50,12,2,0,1,
800, 0.9625,0.2475,0.9925,0.3325,0.9825,0.1125,0.97,0.25,0.995,0.1825,1,0,0,5,31,163,157,40,2,0,0,1,
900, 0.9975,0.265,1,0.39,0.985,0.1475,1,0.2525,0.98,0.2025,0,1,0,0,18,181,135,56,9,0,0,0,
