gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.920574, d0W0.900862, d0W0.940862, d0W1.04057, d0W1.2, d1W1, d1W0.920574, d1W0.900862, d1W0.940862, d1W1.04057, d1W1.2, 
0, 0.995,0.0325,0.995,0.1025,0.995,0.095,0.995,0.045,0.995,0.1125,0,0,0,0,0,200,196,4,0,0,0,0,
100, 1,0.04,1,0.175,1,0.1625,1,0,1,0.0175,0,0,0,0,0,200,188,12,0,0,0,0,
200, 1,0.0475,1,0.0075,1,0.1325,0.9675,0.15,1,0.285,0,0,0,1,14,185,178,21,0,1,0,0,
300, 0.9975,0.1225,0.9825,0.0975,0.9975,0.07,1,0.1375,1,0.2575,1,0,0,4,12,183,183,15,2,0,0,0,
400, 1,0.01,1,0.1,1,0.0075,1,0.03,1,0.0475,1,0,0,0,0,199,197,3,0,0,0,0,
500, 1,0,1,0.1425,1,0,0.9975,0.0975,1,0.0575,0,0,0,0,2,198,191,9,0,0,0,0,
600, 1,0.1325,1,0.16,1,0.0225,1,0.0625,1,0.04,0,0,0,0,0,200,190,10,0,0,0,0,
700, 0.995,0.09,0.9925,0.0225,0.9975,0.0025,0.9975,0.0675,1,0.025,0,2,1,2,2,193,196,4,0,0,0,0,
800, 1,0.0875,1,0.015,1,0.0325,1,0.12,0.97,0.0125,1,2,0,0,15,182,193,6,1,0,0,0,
900, 0.9925,0,0.985,0,0.995,0.0525,0.9925,0.05,0.995,0.195,1,0,0,0,8,191,188,12,0,0,0,0,
