gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.205744, d0W0.00861561, d0W0.408616, d0W1.40574, d0W3, d1W1, d1W0.205744, d1W0.00861561, d1W0.408616, d1W1.40574, d1W3, 
0, 0.9925,0.0825,0.995,0.0875,0.9925,0.1225,0.995,0.11,0.9925,0.135,2,1,1,0,0,196,184,16,0,0,0,0,
100, 0.9975,0.125,0.9975,0.175,0.9975,0.1325,0.9975,0.1375,0.9975,0.085,0,0,0,0,0,200,185,13,0,0,0,2,
200, 0.9975,0.205,0.995,0.205,0.995,0.145,0.995,0.1625,0.995,0.245,0,1,0,0,0,199,173,22,2,0,0,3,
300, 0.9825,0.1,0.98,0.09,0.9825,0.1425,0.9825,0.0825,0.98,0.105,1,0,0,0,0,199,181,16,1,1,0,1,
400, 1,0.165,1,0.14,1,0.15,1,0.1225,1,0.2125,2,0,0,0,0,198,170,26,3,0,0,1,
500, 0.99,0.125,0.99,0.11,0.99,0.145,0.99,0.1225,0.99,0.1725,2,0,0,0,0,198,190,9,0,0,0,1,
600, 0.9975,0.1325,0.9975,0.1075,0.9975,0.1525,0.995,0.1625,0.995,0.11,3,1,2,0,0,194,182,16,1,0,0,1,
700, 0.9875,0.165,0.985,0.175,0.985,0.205,0.9925,0.2125,0.9875,0.1975,0,0,0,0,0,200,158,35,5,0,1,1,
800, 1,0.0775,1,0.115,1,0.0825,1,0.125,1,0.085,2,0,0,0,0,198,182,17,0,1,0,0,
900, 1,0.1625,1,0.19,1,0.175,1,0.18,1,0.2375,0,0,0,0,0,200,181,16,1,0,0,2,
