gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.920574, d0W0.900862, d0W0.940862, d0W1.04057, d0W1.2, d1W1, d1W0.920574, d1W0.900862, d1W0.940862, d1W1.04057, d1W1.2, 
0, 0.9925,0.245,0.985,0.315,0.9825,0.1775,0.985,0.0925,0.9725,0.2625,3,2,1,0,5,189,148,46,6,0,0,0,
100, 0.9925,0.1275,0.98,0.48,0.995,0.1825,0.955,0.0925,0.9925,0.15,0,1,1,5,22,171,140,56,4,0,0,0,
200, 0.985,0.4775,0.965,0.17,0.9925,0.18,0.975,0.0525,1,0.2725,0,0,0,3,31,166,131,59,9,0,0,1,
300, 0.945,0.2325,0.995,0.155,0.975,0.235,0.99,0.12,0.9925,0.3375,0,0,0,2,24,174,155,39,4,2,0,0,
400, 0.9925,0.435,0.99,0.3575,0.995,0.3925,0.985,0.2275,0.995,0.2275,0,1,1,2,2,194,120,63,15,1,0,1,
500, 0.9975,0.215,1,0.325,0.9925,0.3725,0.9925,0.245,0.98,0.3525,0,0,0,2,7,191,123,60,12,4,1,0,
600, 0.99,0.265,0.985,0.1625,0.99,0.305,0.985,0.185,0.985,0.14,1,1,0,1,2,195,155,42,3,0,0,0,
700, 0.99,0.2725,0.9675,0.0775,0.9775,0.17,0.99,0.275,0.98,0.31,0,0,1,8,26,165,158,36,5,0,0,1,
800, 0.9975,0.2475,0.99,0.1325,0.9825,0.1175,0.9825,0.2675,1,0.2925,0,0,1,2,11,186,162,36,2,0,0,0,
900, 0.98,0.14,0.9925,0.24,0.985,0.315,0.985,0.3225,0.995,0.2325,1,1,2,3,15,178,129,61,7,2,0,1,
