gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.682297, d0W0.603446, d0W0.763446, d0W1.1623, d0W1.8, d1W1, d1W0.682297, d1W0.603446, d1W0.763446, d1W1.1623, d1W1.8, 
0, 0.985,0.1725,0.99,0.3225,0.9825,0.25,0.9775,0.2675,0.98,0.175,3,3,0,0,0,194,155,34,6,0,0,5,
100, 0.98,0.2175,0.985,0.25,0.9775,0.22,0.9825,0.2725,0.98,0.345,1,2,5,3,7,182,160,33,3,1,1,2,
200, 0.995,0.2325,0.99,0.2075,0.9925,0.29,0.9925,0.34,0.9875,0.2975,1,0,1,2,5,191,138,50,6,2,1,3,
300, 0.995,0.2925,0.995,0.235,0.995,0.275,0.99,0.28,0.99,0.28,0,1,0,1,7,191,134,43,12,7,1,3,
400, 0.9925,0.2425,0.985,0.24,0.985,0.21,0.985,0.1525,0.985,0.26,0,0,1,0,1,198,155,39,5,0,0,1,
500, 0.9825,0.2675,0.9825,0.3125,0.9875,0.2725,0.9875,0.235,0.9875,0.32,2,0,1,1,2,194,145,40,11,1,1,2,
600, 0.9725,0.3375,0.9775,0.2275,0.975,0.2875,0.975,0.2725,0.975,0.2225,2,4,0,0,0,194,143,43,10,3,0,1,
700, 0.9825,0.26,0.985,0.2225,0.9775,0.285,0.9775,0.1975,0.98,0.2875,1,3,1,0,0,195,161,33,4,0,0,2,
800, 1,0.35,0.9975,0.4775,0.995,0.4275,0.9975,0.4075,1,0.3525,0,0,4,2,1,193,92,71,24,9,1,3,
900, 0.9875,0.18,0.985,0.1625,0.9725,0.1325,0.9725,0.155,0.99,0.19,5,1,2,0,12,180,168,28,1,1,0,2,
