gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.841149, d0W0.801723, d0W0.881723, d0W1.08115, d0W1.4, d1W1, d1W0.841149, d1W0.801723, d1W0.881723, d1W1.08115, d1W1.4, 
0, 1,0.0825,0.985,0.0625,0.995,0.1525,0.995,0.235,0.9925,0.04,1,2,0,0,2,195,187,11,1,0,0,1,
100, 0.9975,0.0975,1,0.14,1,0.1075,0.985,0.0025,1,0.0575,0,0,0,1,7,192,193,7,0,0,0,0,
200, 0.995,0.1075,0.9975,0.09,0.995,0.0325,0.995,0.1525,0.9925,0.08,2,1,0,0,0,197,189,11,0,0,0,0,
300, 0.995,0.135,0.985,0.09,0.9825,0.09,0.995,0.1575,0.9925,0.085,1,1,0,1,1,196,193,7,0,0,0,0,
400, 0.995,0.0675,0.9925,0.07,0.995,0.06,0.9975,0.27,0.9975,0.12,0,0,0,0,1,199,174,25,1,0,0,0,
500, 0.98,0.135,0.985,0.1575,0.985,0.06,0.99,0.085,0.9875,0.0675,4,0,0,0,6,190,193,7,0,0,0,0,
600, 1,0.1325,0.9975,0.085,0.985,0.0725,0.985,0.0675,1,0.1275,1,0,0,0,12,187,191,8,0,0,0,1,
700, 0.9975,0.095,1,0.15,0.99,0.05,1,0.115,0.9925,0.1175,2,3,1,0,0,194,192,8,0,0,0,0,
800, 0.995,0.145,0.9975,0.085,0.995,0.1025,0.9975,0.1075,0.9975,0.1625,1,1,2,3,1,192,189,10,0,0,0,1,
900, 0.995,0.11,1,0.11,0.9925,0.1375,0.995,0.0675,0.99,0.0175,0,0,1,0,0,199,191,9,0,0,0,0,
