gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0l5, d1l5, d0l6, d1l6, d0l7, d1l7, d0l8, d1l8, d0l9, d1l9, d0l10, d1l10, d0l11, d1l11, d0l12, d1l12, d0l13, d1l13, d0l14, d1l14, d0l15, d1l15, d0l16, d1l16, d0l17, d1l17, d0l18, d1l18, d0l19, d1l19, d0W1, d0W0.974546, d0W0.952823, d0W0.934833, d0W0.920574, d0W0.910048, d0W0.903254, d0W0.900192, d0W0.900862, d0W0.905263, d0W0.913397, d0W0.925263, d0W0.940862, d0W0.960192, d0W0.983254, d0W1.01005, d0W1.04057, d0W1.07483, d0W1.11282, d0W1.15455, d0W1.2, d1W1, d1W0.974546, d1W0.952823, d1W0.934833, d1W0.920574, d1W0.910048, d1W0.903254, d1W0.900192, d1W0.900862, d1W0.905263, d1W0.913397, d1W0.925263, d1W0.940862, d1W0.960192, d1W0.983254, d1W1.01005, d1W1.04057, d1W1.07483, d1W1.11282, d1W1.15455, d1W1.2, 
0, 0.9925,0.26,1,0.165,0.985,0.25,1,1,0.9975,0.24,0.9925,0.7875,0.9925,0.315,0.9975,0.18,0.9925,0.185,0.995,0.1875,1,0.0475,0.995,0.095,1,0.2225,1,0.325,0.9875,0.0825,0.995,0.11,0.9825,0.2025,0.9975,0.5325,0.99,0.29,0.9975,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,11,177,0,26,79,57,27,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
100, 1,0.7025,0.9775,0.2375,0.9975,0.23,1,1,1,0.0775,1,0.7775,0.9525,0.1425,1,0.0175,0.9975,0.015,1,0.27,0.925,0.115,0.9475,0.1475,0.9975,0.2,0.99,0.38,1,0.1125,1,0.27,0.92,0.105,1,0.5225,0.975,0.135,1,0.2025,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,6,17,63,110,0,18,59,71,41,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
200, 0.99,0.68,0.985,0.0325,0.9875,0.0825,1,1,0.9875,0.0275,0.9925,0.4675,0.99,0.3825,0.99,0.245,0.99,0.0975,0.9825,0.41,0.98,0.025,0.935,0.14,0.99,0.1225,0.9725,0.4975,0.985,0.2725,0.985,0.3175,0.9575,0.1725,0.9675,0.475,0.985,0.1,0.9825,0.2775,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,6,40,150,0,23,49,78,32,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300, 0.98,0.165,0.97,0.0625,0.935,0.0075,1,1,0.985,0.0975,0.9775,0.065,0.965,0.1275,0.9775,0.175,0.9875,0.135,0.985,0.2825,0.975,0.15,0.99,0.435,0.9825,0.05,0.9825,0.41,0.96,0.05,0.955,0.22,0.945,0.1925,0.985,0.235,0.9825,0.1,0.99,0.275,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,21,55,119,0,85,80,29,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
400, 0.9975,0.045,1,0.1225,0.9025,0.15,1,1,0.9975,0.2675,0.9775,0,0.995,0.13,0.985,0.4075,0.9475,0.255,1,0.5775,1,0.535,0.965,0.3425,0.9975,0.0625,0.9875,0.225,0.98,0.1875,0.9975,0.015,0.9875,0.255,0.9925,0.0125,0.975,0.425,0.9975,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,14,66,115,0,40,70,66,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
500, 1,0.205,0.9775,0.215,0.9825,0.165,1,1,1,0.4125,1,0.0275,0.995,0.145,0.9275,0.165,0.885,0.495,1,0.43,0.9775,0.0325,1,0.31,0.9175,0.08,0.98,0.195,0.9225,0.32,0.975,0.02,0.975,0.1575,0.995,0.1475,0.9775,0.5,0.9925,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,38,69,75,0,50,79,47,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
600, 0.99,0.015,0.9875,0.05,0.9925,0.28,1,1,0.9875,0.115,0.99,0.1825,0.99,0.1175,0.97,0.3,0.99,0.1475,0.995,0.36,0.99,0.07,0.99,0.135,0.99,0.1775,1,0.6025,0.9325,0.005,0.9925,0.07,0.9925,0.145,0.9875,0.0075,0.985,0.2325,0.9975,0.1775,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,37,159,0,82,75,36,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
700, 0.9725,0.025,0.95,0.3125,0.995,0.0425,1,1,1,0.1825,0.9775,0.075,1,0.22,0.995,0.495,1,0.19,0.985,0.5575,0.93,0.15,1,0.1575,0.9975,0.1425,0.9975,0.6075,0.985,0.145,0.965,0.3775,0.9725,0.0675,0.9525,0.0075,0.9875,0.195,0.9775,0.115,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,31,82,81,0,41,79,50,23,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
800, 1,0.065,1,0.51,1,0.16,1,1,1,0.1375,1,0.0025,1,0.27,1,0.125,1,0.1075,1,0.3975,1,0.115,1,0.075,1,0.0475,1,0.18,1,0.4725,1,0.0875,1,0.0075,1,0.0725,1,0.3775,1,0.0825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,56,85,43,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
900, 1,0.1875,1,0.345,1,0.475,1,1,1,0.135,1,0.22,1,0.195,1,0.14,0.955,0.4825,0.955,0.26,1,0.1725,1,0.16,1,0.02,1,0.3675,1,0.2075,1,0.1875,1,0.325,1,0.2075,1,0.5525,1,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,164,0,36,70,63,25,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
