gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.682297, d0W0.603446, d0W0.763446, d0W1.1623, d0W1.8, d1W1, d1W0.682297, d1W0.603446, d1W0.763446, d1W1.1623, d1W1.8, 
0, 0.9825,0.27,0.985,0.2725,0.9825,0.2475,0.985,0.3525,0.99,0.29,5,0,0,0,1,194,135,48,11,4,0,2,
100, 0.995,0.22,0.985,0.2,0.9875,0.2625,0.99,0.29,0.985,0.2325,0,2,0,0,2,196,161,29,5,1,1,3,
200, 0.9775,0.3075,0.9825,0.3425,0.975,0.185,0.9875,0.3175,0.97,0.1925,0,0,0,3,2,195,125,62,12,0,0,1,
300, 0.9725,0.23,0.9725,0.34,0.98,0.275,0.9775,0.315,0.9775,0.2875,2,1,0,1,5,191,139,45,11,2,0,3,
400, 0.99,0.3375,0.98,0.305,0.985,0.25,0.99,0.2975,0.9925,0.3075,3,2,3,0,1,191,142,41,8,1,0,8,
500, 0.9775,0.305,0.98,0.2825,0.9775,0.18,0.9775,0.2975,0.9825,0.29,1,0,1,1,4,193,159,35,2,0,0,4,
600, 0.99,0.335,0.985,0.265,0.9875,0.25,0.985,0.255,0.98,0.3375,3,1,3,1,4,188,138,43,15,3,0,1,
700, 0.9775,0.29,0.975,0.4375,0.9775,0.3125,0.9725,0.275,0.98,0.3575,2,1,0,1,2,194,122,53,16,5,0,4,
800, 0.975,0.4125,0.9725,0.36,0.9725,0.365,0.9725,0.32,0.985,0.35,9,6,1,3,3,178,102,66,21,5,1,5,
900, 0.97,0.3475,0.98,0.3575,0.9925,0.41,0.9825,0.2575,0.9775,0.365,0,3,6,1,1,189,117,54,17,5,3,4,
