gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0W1, d0W0.900798, d0W0.967464, d0W1.2, d1W1, d1W0.900798, d1W0.967464, d1W1.2, 
0, 0.9975,0.1825,0.995,0.065,1,0.06,0,2,0,198,187,12,0,1,
100, 0.9975,0.2275,1,0.0675,0.9975,0.135,0,0,2,198,188,12,0,0,
200, 0.985,0.2,0.98,0.08,0.9775,0.175,2,2,6,190,184,15,1,0,
300, 1,0.015,0.9975,0.035,1,0.2325,0,0,2,198,190,10,0,0,
400, 1,0.0375,0.98,0.075,0.9875,0.16,0,1,19,180,194,6,0,0,
500, 0.9725,0.1425,0.9775,0.1425,0.995,0.1575,1,0,14,185,184,16,0,0,
600, 0.995,0.22,0.9975,0.2775,1,0.23,0,1,3,196,161,38,0,1,
700, 0.9825,0.2,0.975,0.11,0.98,0.22,2,1,3,194,177,23,0,0,
800, 0.9875,0.1725,0.9925,0.0475,0.9975,0.2375,2,0,7,191,188,12,0,0,
900, 1,0.33,0.995,0.1075,1,0.06,0,0,3,197,173,26,1,0,
