gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.841149, d0W0.801723, d0W0.881723, d0W1.08115, d0W1.4, d1W1, d1W0.841149, d1W0.801723, d1W0.881723, d1W1.08115, d1W1.4, 
0, 0.9925,0.115,0.9775,0.2825,0.9925,0.1125,0.9975,0.14,0.9975,0.105,1,0,1,1,6,191,170,27,0,2,0,1,
100, 0.995,0.1325,0.99,0.1875,0.995,0.1125,0.9975,0.18,0.9925,0.1625,0,0,0,2,0,198,179,18,1,0,0,2,
200, 0.985,0.015,0.995,0.2075,1,0.155,1,0.135,0.9975,0.17,0,0,1,1,6,192,185,15,0,0,0,0,
300, 0.995,0.075,0.9925,0.1525,0.9975,0.205,0.9925,0.045,0.99,0.1125,0,0,1,1,1,197,181,17,2,0,0,0,
400, 0.995,0.0475,0.9925,0.11,0.995,0.1575,0.995,0.095,0.995,0.22,0,0,0,1,2,197,181,18,1,0,0,0,
500, 0.9925,0.07,0.995,0.03,0.995,0.0975,0.995,0.035,0.995,0.06,1,0,0,1,1,197,198,2,0,0,0,0,
600, 0.9925,0.1,0.995,0.14,0.9925,0.1675,0.9925,0.09,0.9925,0.0525,1,0,0,0,1,198,189,11,0,0,0,0,
700, 1,0.185,1,0.205,1,0.1875,1,0.195,1,0.2425,1,0,0,0,0,199,167,31,2,0,0,0,
800, 0.98,0.1725,0.99,0.1225,0.9775,0.09,0.97,0.115,0.9775,0.15,4,4,0,2,6,184,181,17,1,0,0,1,
900, 0.965,0.135,0.965,0.1875,0.99,0.1225,0.985,0.165,0.9725,0.185,5,6,0,0,3,186,175,22,1,0,0,2,
