gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, 
0, 0.9325,0.7325,0.4875,0.6675,0.4825,0.06,0.0225,0,1,0.995,0.9125,0.7925,0.7325,0.2075,0.115,0.03,0.999852,0.999852,0.999852,0.999852,0.999852,0.999852,0.999852,0.999852,
10, 0.9625,0.715,0.475,0.6475,0.515,0.0975,0.0075,0.0075,0.9975,0.9775,0.9075,0.725,0.65,0.3675,0.095,0.055,0.999845,0.999845,0.999845,0.999845,0.999845,0.999845,0.999845,0.999845,
20, 0.9575,0.68,0.5875,0.66,0.465,0.1975,0.015,0.0175,1,0.9975,0.88,0.805,0.7825,0.38,0.0875,0.04,0.999866,0.999866,0.999866,0.999866,0.999866,0.999866,0.999866,0.999866,
30, 0.97,0.7375,0.58,0.71,0.4625,0.1825,0.0025,0.01,1,0.9975,0.845,0.7475,0.6825,0.5575,0.1725,0.005,0.99988,0.99988,0.99988,0.99988,0.99988,0.99988,0.99988,0.99988,
40, 0.995,0.6775,0.4325,0.7475,0.5425,0.095,0,0.0025,1,0.9875,0.81,0.65,0.6875,0.42,0.22,0.01,0.999972,0.999972,0.999972,0.999972,0.999972,0.999972,0.999972,0.999972,
50, 0.9375,0.5825,0.3775,0.7725,0.3625,0.085,0.0325,0.0325,1,1,0.85,0.725,0.7775,0.385,0.1575,0.035,0.999873,0.999873,0.999873,0.999873,0.999873,0.999873,0.999873,0.999873,
60, 0.9025,0.6175,0.3475,0.8875,0.375,0.1975,0,0.0075,1,0.995,0.925,0.7475,0.715,0.385,0.185,0.0275,0.999712,0.999712,0.999712,0.999712,0.999712,0.999712,0.999712,0.999712,
70, 0.945,0.4775,0.435,0.8075,0.325,0.1125,0,0.0225,1,1,0.9375,0.675,0.5175,0.31,0.125,0.025,0.999824,0.999824,0.999824,0.999824,0.999824,0.999824,0.999824,0.999824,
80, 0.925,0.5,0.3475,0.7525,0.3625,0.2075,0.005,0.0275,1,1,0.985,0.715,0.575,0.3125,0.1525,0.0175,0.999831,0.999831,0.999831,0.999831,0.999831,0.999831,0.999831,0.999831,
90, 0.8225,0.3975,0.495,0.6725,0.3,0.1625,0.005,0.0125,1,1,0.94,0.665,0.6,0.2275,0.245,0.02,0.999515,0.999515,0.999515,0.999515,0.999515,0.999515,0.999515,0.999515,
