gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W, d0W, d0W, d0W, d0W, d0W, d1W, d1W, d1W, d1W, d1W, d1W, d2W, d2W, d2W, d2W, d2W, d2W, d3W, d3W, d3W, d3W, d3W, d3W, d4W, d4W, d4W, d4W, d4W, d4W, d5W, d5W, d5W, d5W, d5W, d5W, d6W, d6W, d6W, d6W, d6W, d6W, d7W, d7W, d7W, d7W, d7W, d7W, 
0, 0.8125,0.7825,0.76,0.645,0.6625,0.75,0.71,0.63,0.7625,0.7525,0.7625,0.76,0.855,0.8225,0.7625,0.7575,0.993147,0.993147,0.993147,0.993147,0.993147,0.993147,0.993147,0.993147,
10, 0.7925,0.705,0.6725,0.625,0.6825,0.6475,0.6525,0.7725,0.76,0.7575,0.7825,0.805,0.805,0.7725,0.795,0.805,0.991016,0.991016,0.991016,0.991016,0.991016,0.991016,0.991016,0.991016,
20, 0.76,0.585,0.6375,0.6875,0.68,0.6475,0.7025,0.66,0.8175,0.8225,0.7225,0.7675,0.835,0.8275,0.805,0.86,0.992272,0.992272,0.992272,0.992272,0.992272,0.992272,0.992272,0.992272,
30, 0.7075,0.69,0.7375,0.74,0.6975,0.7325,0.7125,0.725,0.86,0.75,0.775,0.81,0.7825,0.7325,0.805,0.7225,0.991346,0.991346,0.991346,0.991346,0.991346,0.991346,0.991346,0.991346,
40, 0.76,0.7325,0.6125,0.715,0.62,0.695,0.6925,0.6925,0.805,0.7775,0.76,0.8575,0.7575,0.7725,0.8225,0.855,0.992424,0.992424,0.992424,0.992424,0.992424,0.992424,0.992424,0.992424,
50, 0.7275,0.7075,0.6325,0.6675,0.615,0.625,0.7075,0.68,0.76,0.7525,0.6425,0.71,0.6875,0.845,0.8725,0.8125,0.991806,0.991806,0.991806,0.991806,0.991806,0.991806,0.991806,0.991806,
60, 0.66,0.675,0.595,0.6475,0.635,0.605,0.68,0.6475,0.675,0.67,0.575,0.6475,0.7375,0.795,0.8725,0.885,0.990434,0.990434,0.990434,0.990434,0.990434,0.990434,0.990434,0.990434,
70, 0.5975,0.57,0.63,0.7025,0.6225,0.635,0.7375,0.77,0.7175,0.68,0.56,0.53,0.6125,0.7675,0.785,0.8425,0.989452,0.989452,0.989452,0.989452,0.989452,0.989452,0.989452,0.989452,
80, 0.535,0.5775,0.5675,0.6375,0.6625,0.71,0.7325,0.675,0.5575,0.625,0.55,0.595,0.615,0.7775,0.8075,0.77,0.989039,0.989039,0.989039,0.989039,0.989039,0.989039,0.989039,0.989039,
90, 0.585,0.5675,0.5675,0.5625,0.6125,0.6375,0.6925,0.7125,0.605,0.495,0.5025,0.49,0.535,0.68,0.725,0.76,0.991069,0.991069,0.991069,0.991069,0.991069,0.991069,0.991069,0.991069,
