gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d20l0, d21l0, d22l0, d23l0, d24l0, d25l0, d26l0, d27l0, d28l0, d29l0, d30l0, d31l0, d32l0, d33l0, d34l0, d35l0, d36l0, d37l0, d38l0, d39l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d20l1, d21l1, d22l1, d23l1, d24l1, d25l1, d26l1, d27l1, d28l1, d29l1, d30l1, d31l1, d32l1, d33l1, d34l1, d35l1, d36l1, d37l1, d38l1, d39l1, d0W1, d0W0.904837, d0W0.904837, d0W1, d0W0.904837, d0W0.904837, d1W1, d1W0.904837, d1W0.904837, d1W1, d1W0.904837, d1W0.904837, d2W1, d2W0.904837, d2W0.904837, d2W1, d2W0.904837, d2W0.904837, d3W1, d3W0.904837, d3W0.904837, d3W1, d3W0.904837, d3W0.904837, d4W1, d4W0.904837, d4W0.904837, d4W1, d4W0.904837, d4W0.904837, d5W1, d5W0.904837, d5W0.904837, d5W1, d5W0.904837, d5W0.904837, d6W1, d6W0.904837, d6W0.904837, d6W1, d6W0.904837, d6W0.904837, d7W1, d7W0.904837, d7W0.904837, d7W1, d7W0.904837, d7W0.904837, d8W1, d8W0.904837, d8W0.904837, d8W1, d8W0.904837, d8W0.904837, d9W1, d9W0.904837, d9W0.904837, d9W1, d9W0.904837, d9W0.904837, d10W1, d10W0.904837, d10W0.904837, d10W1, d10W0.904837, d10W0.904837, d11W1, d11W0.904837, d11W0.904837, d11W1, d11W0.904837, d11W0.904837, d12W1, d12W0.904837, d12W0.904837, d12W1, d12W0.904837, d12W0.904837, d13W1, d13W0.904837, d13W0.904837, d13W1, d13W0.904837, d13W0.904837, d14W1, d14W0.904837, d14W0.904837, d14W1, d14W0.904837, d14W0.904837, d15W1, d15W0.904837, d15W0.904837, d15W1, d15W0.904837, d15W0.904837, d16W1, d16W0.904837, d16W0.904837, d16W1, d16W0.904837, d16W0.904837, d17W1, d17W0.904837, d17W0.904837, d17W1, d17W0.904837, d17W0.904837, d18W1, d18W0.904837, d18W0.904837, d18W1, d18W0.904837, d18W0.904837, d19W1, d19W0.904837, d19W0.904837, d19W1, d19W0.904837, d19W0.904837, d20W1, d20W0.904837, d20W0.904837, d20W1, d20W0.904837, d20W0.904837, d21W1, d21W0.904837, d21W0.904837, d21W1, d21W0.904837, d21W0.904837, d22W1, d22W0.904837, d22W0.904837, d22W1, d22W0.904837, d22W0.904837, d23W1, d23W0.904837, d23W0.904837, d23W1, d23W0.904837, d23W0.904837, d24W1, d24W0.904837, d24W0.904837, d24W1, d24W0.904837, d24W0.904837, d25W1, d25W0.904837, d25W0.904837, d25W1, d25W0.904837, d25W0.904837, d26W1, d26W0.904837, d26W0.904837, d26W1, d26W0.904837, d26W0.904837, d27W1, d27W0.904837, d27W0.904837, d27W1, d27W0.904837, d27W0.904837, d28W1, d28W0.904837, d28W0.904837, d28W1, d28W0.904837, d28W0.904837, d29W1, d29W0.904837, d29W0.904837, d29W1, d29W0.904837, d29W0.904837, d30W1, d30W0.904837, d30W0.904837, d30W1, d30W0.904837, d30W0.904837, d31W1, d31W0.904837, d31W0.904837, d31W1, d31W0.904837, d31W0.904837, d32W1, d32W0.904837, d32W0.904837, d32W1, d32W0.904837, d32W0.904837, d33W1, d33W0.904837, d33W0.904837, d33W1, d33W0.904837, d33W0.904837, d34W1, d34W0.904837, d34W0.904837, d34W1, d34W0.904837, d34W0.904837, d35W1, d35W0.904837, d35W0.904837, d35W1, d35W0.904837, d35W0.904837, d36W1, d36W0.904837, d36W0.904837, d36W1, d36W0.904837, d36W0.904837, d37W1, d37W0.904837, d37W0.904837, d37W1, d37W0.904837, d37W0.904837, d38W1, d38W0.904837, d38W0.904837, d38W1, d38W0.904837, d38W0.904837, d39W1, d39W0.904837, d39W0.904837, d39W1, d39W0.904837, d39W0.904837, 
6, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.992,0.865,0.112,0.012,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.986,0.835,0.096,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,491,9,9,491,9,9,340,160,160,340,160,160,382,118,118,382,118,118,482,18,18,482,18,18,499,1,1,499,1,1,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,
506, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.995,0.961,0.712,0.163,0.035,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.958,0.664,0.203,0.02,0.016,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,494,6,6,494,6,6,432,68,68,432,68,68,144,356,356,144,356,356,252,248,248,252,248,248,448,52,52,448,52,52,465,35,35,465,35,35,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,
1006, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.997,0.97,0.796,0.271,0.04,0.007,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999,0.974,0.774,0.259,0.045,0.013,0.007,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,493,7,7,493,7,7,465,35,35,465,35,35,220,280,280,220,280,280,170,330,330,170,330,330,425,75,75,425,75,75,483,17,17,483,17,17,491,9,9,491,9,9,495,5,5,495,5,5,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,
1506, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.992,0.89,0.67,0.175,0.031,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.997,0.983,0.929,0.682,0.174,0.024,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,495,5,5,495,5,5,476,24,24,476,24,24,355,145,145,355,145,145,140,360,360,140,360,360,262,238,238,262,238,238,461,39,39,461,39,39,487,13,13,487,13,13,498,2,2,498,2,2,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,
2006, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.997,0.93,0.607,0.212,0.035,0.003,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999,1,0.999,0.985,0.872,0.569,0.222,0.026,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,499,1,1,499,1,1,500,0,0,500,0,0,499,1,1,499,1,1,479,21,21,479,21,21,355,145,145,355,145,145,89,411,411,89,411,411,216,284,284,216,284,284,445,55,55,445,55,55,494,6,6,494,6,6,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,
2506, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.997,0.96,0.695,0.322,0.107,0.015,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.997,0.945,0.73,0.373,0.075,0.006,0.014,0.001,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,493,7,7,493,7,7,406,94,94,406,94,94,162,338,338,162,338,338,107,393,393,107,393,393,355,145,145,355,145,145,474,26,26,474,26,26,486,14,14,486,14,14,500,0,0,500,0,0,499,1,1,499,1,1,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,
3006, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.996,0.998,0.946,0.772,0.347,0.058,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.996,0.95,0.746,0.33,0.069,0.016,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,497,3,3,497,3,3,492,8,8,492,8,8,405,95,95,405,95,95,199,301,301,199,301,301,121,379,379,121,379,379,387,113,113,387,113,113,480,20,20,480,20,20,497,3,3,497,3,3,498,2,2,498,2,2,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,
3506, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999,0.998,0.998,0.982,0.917,0.593,0.154,0.077,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.984,0.902,0.532,0.132,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,499,1,1,499,1,1,499,1,1,499,1,1,475,25,25,475,25,25,333,167,167,333,167,167,91,409,409,91,409,409,293,207,207,293,207,207,409,91,91,409,91,91,494,6,6,494,6,6,499,1,1,499,1,1,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,
4006, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.995,0.947,0.792,0.351,0.043,0.023,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.991,0.981,0.777,0.266,0.055,0.029,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,488,12,12,488,12,12,425,75,75,425,75,75,219,281,281,219,281,281,160,340,340,160,340,340,406,94,94,406,94,94,455,45,45,455,45,45,490,10,10,490,10,10,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,
4506, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998,0.999,0.976,0.857,0.382,0.081,0.015,0.006,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998,0.988,0.856,0.45,0.105,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,498,2,2,498,2,2,495,5,5,495,5,5,472,28,28,472,28,28,286,214,214,286,214,214,106,394,394,106,394,394,362,138,138,362,138,138,474,26,26,474,26,26,488,12,12,488,12,12,498,2,2,498,2,2,499,1,1,499,1,1,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,500,0,0,
