gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d20l0, d21l0, d22l0, d23l0, d24l0, d25l0, d26l0, d27l0, d28l0, d29l0, d30l0, d31l0, d32l0, d33l0, d34l0, d35l0, d36l0, d37l0, d38l0, d39l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d20l1, d21l1, d22l1, d23l1, d24l1, d25l1, d26l1, d27l1, d28l1, d29l1, d30l1, d31l1, d32l1, d33l1, d34l1, d35l1, d36l1, d37l1, d38l1, d39l1, d0W0.923116, d0W0.875903, d0W0.929485, d0W0.951229, d0W0.943532, d0W0.968022, d1W0.923116, d1W0.875903, d1W0.929485, d1W0.951229, d1W0.943532, d1W0.968022, d2W0.923116, d2W0.875903, d2W0.929485, d2W0.951229, d2W0.943532, d2W0.968022, d3W0.923116, d3W0.875903, d3W0.929485, d3W0.951229, d3W0.943532, d3W0.968022, d4W0.923116, d4W0.875903, d4W0.929485, d4W0.951229, d4W0.943532, d4W0.968022, d5W0.923116, d5W0.875903, d5W0.929485, d5W0.951229, d5W0.943532, d5W0.968022, d6W0.923116, d6W0.875903, d6W0.929485, d6W0.951229, d6W0.943532, d6W0.968022, d7W0.923116, d7W0.875903, d7W0.929485, d7W0.951229, d7W0.943532, d7W0.968022, d8W0.923116, d8W0.875903, d8W0.929485, d8W0.951229, d8W0.943532, d8W0.968022, d9W0.923116, d9W0.875903, d9W0.929485, d9W0.951229, d9W0.943532, d9W0.968022, d10W0.923116, d10W0.875903, d10W0.929485, d10W0.951229, d10W0.943532, d10W0.968022, d11W0.923116, d11W0.875903, d11W0.929485, d11W0.951229, d11W0.943532, d11W0.968022, d12W0.923116, d12W0.875903, d12W0.929485, d12W0.951229, d12W0.943532, d12W0.968022, d13W0.923116, d13W0.875903, d13W0.929485, d13W0.951229, d13W0.943532, d13W0.968022, d14W0.923116, d14W0.875903, d14W0.929485, d14W0.951229, d14W0.943532, d14W0.968022, d15W0.923116, d15W0.875903, d15W0.929485, d15W0.951229, d15W0.943532, d15W0.968022, d16W0.923116, d16W0.875903, d16W0.929485, d16W0.951229, d16W0.943532, d16W0.968022, d17W0.923116, d17W0.875903, d17W0.929485, d17W0.951229, d17W0.943532, d17W0.968022, d18W0.923116, d18W0.875903, d18W0.929485, d18W0.951229, d18W0.943532, d18W0.968022, d19W0.923116, d19W0.875903, d19W0.929485, d19W0.951229, d19W0.943532, d19W0.968022, d20W0.923116, d20W0.875903, d20W0.929485, d20W0.951229, d20W0.943532, d20W0.968022, d21W0.923116, d21W0.875903, d21W0.929485, d21W0.951229, d21W0.943532, d21W0.968022, d22W0.923116, d22W0.875903, d22W0.929485, d22W0.951229, d22W0.943532, d22W0.968022, d23W0.923116, d23W0.875903, d23W0.929485, d23W0.951229, d23W0.943532, d23W0.968022, d24W0.923116, d24W0.875903, d24W0.929485, d24W0.951229, d24W0.943532, d24W0.968022, d25W0.923116, d25W0.875903, d25W0.929485, d25W0.951229, d25W0.943532, d25W0.968022, d26W0.923116, d26W0.875903, d26W0.929485, d26W0.951229, d26W0.943532, d26W0.968022, d27W0.923116, d27W0.875903, d27W0.929485, d27W0.951229, d27W0.943532, d27W0.968022, d28W0.923116, d28W0.875903, d28W0.929485, d28W0.951229, d28W0.943532, d28W0.968022, d29W0.923116, d29W0.875903, d29W0.929485, d29W0.951229, d29W0.943532, d29W0.968022, d30W0.923116, d30W0.875903, d30W0.929485, d30W0.951229, d30W0.943532, d30W0.968022, d31W0.923116, d31W0.875903, d31W0.929485, d31W0.951229, d31W0.943532, d31W0.968022, d32W0.923116, d32W0.875903, d32W0.929485, d32W0.951229, d32W0.943532, d32W0.968022, d33W0.923116, d33W0.875903, d33W0.929485, d33W0.951229, d33W0.943532, d33W0.968022, d34W0.923116, d34W0.875903, d34W0.929485, d34W0.951229, d34W0.943532, d34W0.968022, d35W0.923116, d35W0.875903, d35W0.929485, d35W0.951229, d35W0.943532, d35W0.968022, d36W0.923116, d36W0.875903, d36W0.929485, d36W0.951229, d36W0.943532, d36W0.968022, d37W0.923116, d37W0.875903, d37W0.929485, d37W0.951229, d37W0.943532, d37W0.968022, d38W0.923116, d38W0.875903, d38W0.929485, d38W0.951229, d38W0.943532, d38W0.968022, d39W0.923116, d39W0.875903, d39W0.929485, d39W0.951229, d39W0.943532, d39W0.968022, 
6, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.972,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.973,0.027,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,458,0,21,3,1,17,0,0,0,477,15,8,0,0,0,498,1,1,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,
506, 1,1,1,1,1,1,1,1,1,1,1,1,0.996,0.977,0.958,0.71,0.722,0.538,0.216,0.07,0.034,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.985,0.906,0.64,0.592,0.224,0.092,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,496,0,4,0,0,0,472,0,28,0,0,0,454,0,45,0,0,1,215,28,205,1,7,44,100,50,213,7,43,87,68,52,145,15,95,125,1,34,20,185,206,54,0,7,1,368,117,7,0,0,0,471,29,0,0,0,0,482,18,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,
1006, 1,1,1,1,1,1,1,1,1,1,0.975,0.883,0.615,0.654,0.51,0.234,0.147,0.109,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.996,0.965,0.793,0.726,0.55,0.266,0.028,0.022,0.076,0.01,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,469,2,29,0,0,0,370,5,119,0,0,6,124,57,207,2,31,79,107,55,191,6,53,88,47,62,138,26,115,112,6,32,20,170,199,73,0,6,0,331,152,11,0,5,0,382,108,5,0,1,2,411,81,5,0,0,0,487,13,0,0,0,0,499,1,0,0,0,0,499,1,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,
1506, 1,1,1,1,1,1,0.994,0.978,0.875,0.695,0.445,0.265,0.138,0.032,0.035,0.032,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.984,0.903,0.798,0.606,0.412,0.224,0.047,0.034,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,480,0,20,0,0,0,402,6,89,0,0,3,248,20,189,1,8,34,98,35,188,10,60,109,22,67,88,51,158,114,3,34,14,172,205,72,0,8,0,344,128,20,0,1,0,436,61,2,0,0,0,467,33,0,0,0,0,478,22,0,0,0,0,498,2,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,
2006, 1,0.961,0.921,0.755,0.777,0.646,0.518,0.194,0.062,0.096,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.996,0.934,0.774,0.768,0.749,0.576,0.229,0.074,0.089,0.069,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,454,1,45,0,0,0,379,2,105,1,2,11,174,29,203,2,25,67,189,23,209,1,19,59,116,32,223,7,29,93,41,52,160,27,111,109,0,24,13,219,197,47,0,3,0,369,124,4,0,10,5,325,149,11,0,1,1,399,95,4,0,0,0,429,71,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,
2506, 0.062,0.002,0.057,0.149,0.016,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.121,0.172,0.113,0.178,0.063,0.03,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,396,94,6,0,5,0,400,95,0,0,20,1,298,169,12,0,15,7,275,175,28,0,19,0,323,152,6,0,1,0,431,66,2,0,0,0,476,24,0,0,0,0,491,9,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,
3006, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,
3506, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,
4006, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,
4506, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,500,0,0,
