gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d20l0, d21l0, d22l0, d23l0, d24l0, d25l0, d26l0, d27l0, d28l0, d29l0, d30l0, d31l0, d32l0, d33l0, d34l0, d35l0, d36l0, d37l0, d38l0, d39l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d20l1, d21l1, d22l1, d23l1, d24l1, d25l1, d26l1, d27l1, d28l1, d29l1, d30l1, d31l1, d32l1, d33l1, d34l1, d35l1, d36l1, d37l1, d38l1, d39l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, d20W, d21W, d22W, d23W, d24W, d25W, d26W, d27W, d28W, d29W, d30W, d31W, d32W, d33W, d34W, d35W, d36W, d37W, d38W, d39W, 
2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.969,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
502, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.988,0.935,0.771,0.584,0.608,0.381,0.244,0.015,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.985,0.975,0.95,0.697,0.627,0.362,0.141,0.14,0.052,0.111,0.005,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1002, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.957,0.876,0.649,0.592,0.413,0.108,0.372,0.314,0.137,0.112,0.058,0.001,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.997,0.982,0.76,0.844,0.686,0.508,0.344,0.296,0.202,0.129,0.268,0.094,0.072,0.004,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1502, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.981,0.966,0.905,0.954,0.988,0.892,0.84,0.712,0.573,0.425,0.273,0.098,0.096,0.12,0.241,0.108,0.01,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.944,0.998,0.987,0.987,0.931,0.938,0.793,0.641,0.384,0.382,0.457,0.451,0.432,0.212,0.306,0.158,0.003,0.001,0.022,0.001,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2002, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.969,0.981,0.828,0.682,0.771,0.506,0.31,0.144,0.108,0.111,0.045,0.091,0.25,0.055,0.018,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0.972,0.916,0.976,0.898,0.99,0.977,0.965,0.96,0.681,0.661,0.491,0.524,0.534,0.447,0.199,0.211,0.26,0.112,0.104,0.064,0.001,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2502, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.995,0.89,0.921,0.941,0.662,0.384,0.215,0.285,0.221,0.173,0.022,0.013,0.02,0.036,0.003,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.999,0.952,0.844,0.924,0.944,0.904,0.927,0.905,0.813,0.665,0.742,0.748,0.621,0.446,0.53,0.472,0.279,0.428,0.271,0.248,0.045,0.11,0.017,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
3002, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.935,0.805,0.75,0.64,0.539,0.417,0.127,0.209,0.124,0.181,0.075,0.026,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.996,0.995,0.931,0.984,0.932,0.908,0.869,0.854,0.787,0.86,0.815,0.877,0.849,0.849,0.716,0.793,0.486,0.808,0.499,0.405,0.218,0.231,0.101,0.071,0.018,0,0.007,0.007,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
3502, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.976,0.878,0.849,0.756,0.368,0.24,0.092,0.149,0.159,0.076,0.019,0.006,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.983,0.908,0.919,0.881,0.876,0.992,0.958,0.982,0.966,0.893,0.913,0.889,0.745,0.37,0.561,0.729,0.584,0.576,0.742,0.317,0.128,0.17,0.052,0.002,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4002, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.961,0.831,0.765,0.669,0.518,0.238,0.213,0.144,0.128,0.009,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.988,0.943,0.96,0.948,0.947,0.994,0.98,1,0.998,0.947,0.924,0.869,0.921,0.762,0.738,0.708,0.942,0.91,0.781,0.637,0.481,0.271,0.227,0.341,0.33,0.144,0.071,0.002,0.002,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4502, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999,0.944,0.975,0.942,0.823,0.757,0.63,0.465,0.265,0.161,0.061,0.169,0.022,0.024,0,0,0,0,0,0,0,0,1,1,1,0.983,0.926,0.91,0.959,0.923,0.844,0.738,0.876,0.985,0.991,0.833,0.964,0.995,0.942,0.979,0.889,0.91,0.884,0.837,0.703,0.604,0.329,0.31,0.312,0.255,0.503,0.437,0.171,0.222,0.256,0.138,0.025,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
