gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d20l0, d21l0, d22l0, d23l0, d24l0, d25l0, d26l0, d27l0, d28l0, d29l0, d30l0, d31l0, d32l0, d33l0, d34l0, d35l0, d36l0, d37l0, d38l0, d39l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d20l1, d21l1, d22l1, d23l1, d24l1, d25l1, d26l1, d27l1, d28l1, d29l1, d30l1, d31l1, d32l1, d33l1, d34l1, d35l1, d36l1, d37l1, d38l1, d39l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, d20W, d21W, d22W, d23W, d24W, d25W, d26W, d27W, d28W, d29W, d30W, d31W, d32W, d33W, d34W, d35W, d36W, d37W, d38W, d39W, 
2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.988,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
502, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.971,0.831,0.828,0.816,0.796,0.559,0.332,0.343,0.11,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.984,0.877,0.737,0.796,0.543,0.303,0.163,0.054,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1002, 1,1,1,1,1,1,1,1,1,1,1,1,0.996,0.963,0.906,0.907,0.865,0.684,0.594,0.451,0.338,0.465,0.459,0.294,0.028,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.992,0.841,0.901,0.688,0.58,0.384,0.591,0.313,0.24,0.031,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1502, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.996,1,0.909,0.756,0.641,0.567,0.535,0.401,0.201,0.204,0.017,0.009,0.006,0.001,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998,0.963,0.786,0.64,0.641,0.314,0.209,0.095,0.181,0.163,0.146,0.011,0.027,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2002, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982,0.956,0.653,0.883,0.87,0.872,0.584,0.211,0.174,0.029,0.027,0.007,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.994,0.971,0.867,0.864,0.694,0.458,0.227,0.227,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2502, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.995,0.98,0.866,0.903,0.749,0.486,0.614,0.514,0.243,0.101,0.117,0.06,0.086,0.004,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.994,0.936,0.647,0.378,0.196,0.086,0.095,0.034,0.099,0.077,0.118,0.084,0.001,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
3002, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.963,0.963,0.9,0.793,0.632,0.356,0.249,0.254,0.492,0.251,0.22,0.099,0.01,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.991,0.925,0.778,0.824,0.513,0.499,0.433,0.318,0.28,0.181,0.146,0.036,0.002,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
3502, 1,1,1,1,1,1,1,1,1,1,1,1,0.985,0.981,0.982,0.972,0.964,0.785,0.551,0.496,0.549,0.41,0.517,0.474,0.476,0.365,0.124,0.064,0.01,0.058,0.145,0.011,0.003,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.981,0.854,0.887,0.707,0.752,0.77,0.77,0.648,0.32,0.228,0.128,0.205,0.061,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4002, 1,1,1,1,1,1,1,1,1,1,1,0.998,0.979,0.845,0.883,0.829,0.776,0.766,0.729,0.793,0.518,0.554,0.54,0.151,0.259,0.307,0.224,0.08,0.058,0,0,0,0,0.001,0.069,0.002,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.865,0.803,0.866,0.918,0.889,0.504,0.443,0.279,0.433,0.274,0.202,0.24,0.092,0.018,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4502, 1,1,1,1,1,1,1,1,1,1,0.999,0.939,0.928,0.975,0.973,0.982,0.763,0.764,0.623,0.903,0.725,0.849,0.659,0.618,0.275,0.316,0.212,0.036,0.052,0.012,0.003,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982,0.871,0.91,0.92,0.884,0.823,0.772,0.643,0.644,0.423,0.365,0.149,0.073,0.001,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
