gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d20l0, d21l0, d22l0, d23l0, d24l0, d25l0, d26l0, d27l0, d28l0, d29l0, d30l0, d31l0, d32l0, d33l0, d34l0, d35l0, d36l0, d37l0, d38l0, d39l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d20l1, d21l1, d22l1, d23l1, d24l1, d25l1, d26l1, d27l1, d28l1, d29l1, d30l1, d31l1, d32l1, d33l1, d34l1, d35l1, d36l1, d37l1, d38l1, d39l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, d20W, d21W, d22W, d23W, d24W, d25W, d26W, d27W, d28W, d29W, d30W, d31W, d32W, d33W, d34W, d35W, d36W, d37W, d38W, d39W, 
2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.997,0.927,0.067,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999,0.924,0.068,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
502, 1,1,1,1,1,1,1,1,0.996,0.979,0.938,0.898,0.812,0.826,0.811,0.789,0.768,0.667,0.643,0.58,0.416,0.271,0.192,0.167,0.134,0.073,0.026,0.018,0.003,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.99,0.994,0.937,0.915,0.884,0.862,0.744,0.769,0.664,0.481,0.436,0.34,0.26,0.243,0.119,0.121,0.085,0.048,0.042,0.026,0.013,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1002, 1,1,1,1,0.999,1,0.99,0.984,1,0.97,0.97,0.857,0.837,0.787,0.777,0.608,0.52,0.591,0.462,0.428,0.465,0.355,0.359,0.251,0.308,0.242,0.204,0.1,0.051,0.027,0.04,0.008,0.003,0,0.005,0,0,0,0,0,1,1,0.995,0.997,0.998,0.993,0.991,0.955,0.95,0.945,0.893,0.849,0.817,0.723,0.766,0.645,0.634,0.531,0.483,0.437,0.346,0.298,0.281,0.286,0.334,0.307,0.218,0.062,0.042,0.005,0.007,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1502, 0.969,0.998,1,0.975,0.954,0.958,0.977,0.971,0.96,0.963,0.954,0.938,0.86,0.801,0.715,0.668,0.649,0.618,0.568,0.501,0.454,0.533,0.532,0.496,0.387,0.383,0.319,0.359,0.444,0.258,0.232,0.122,0.108,0.058,0.094,0.046,0.003,0,0,0,1,1,1,1,0.997,0.997,0.981,0.989,0.972,0.923,0.849,0.875,0.756,0.602,0.592,0.584,0.627,0.603,0.496,0.46,0.517,0.451,0.384,0.447,0.413,0.307,0.17,0.147,0.075,0.107,0.068,0.045,0.061,0.042,0.005,0.013,0.005,0.011,0.046,0.038,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,
2002, 1,0.997,0.992,0.983,0.994,0.996,1,0.997,0.982,0.983,0.944,0.872,0.873,0.892,0.926,0.895,0.757,0.739,0.685,0.687,0.563,0.522,0.356,0.296,0.277,0.39,0.357,0.262,0.266,0.254,0.232,0.163,0.081,0.075,0.12,0.031,0.003,0.002,0.004,0.014,1,1,1,0.989,0.964,0.995,0.986,0.979,0.957,0.981,0.949,0.935,0.894,0.908,0.852,0.816,0.766,0.688,0.782,0.719,0.669,0.616,0.489,0.326,0.213,0.187,0.206,0.19,0.217,0.2,0.166,0.088,0.078,0.087,0.113,0.056,0.088,0.101,0.089,0.111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2502, 1,1,0.999,0.994,0.976,0.936,0.916,0.943,0.956,0.925,0.855,0.809,0.868,0.832,0.807,0.623,0.603,0.594,0.613,0.566,0.532,0.456,0.458,0.423,0.479,0.452,0.413,0.358,0.35,0.301,0.292,0.274,0.168,0.201,0.114,0.125,0.104,0.079,0.075,0.092,0.822,0.874,0.93,0.964,0.994,1,1,0.998,0.98,0.959,0.903,0.909,0.857,0.84,0.761,0.741,0.712,0.73,0.646,0.611,0.647,0.555,0.49,0.476,0.431,0.436,0.366,0.272,0.172,0.122,0.134,0.167,0.148,0.114,0.143,0.216,0.166,0.069,0.078,0.064,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,0.999924,
3002, 0.998,0.997,0.914,0.928,0.867,0.864,0.849,0.862,0.878,0.806,0.768,0.855,0.831,0.818,0.704,0.598,0.595,0.656,0.645,0.59,0.545,0.469,0.542,0.43,0.377,0.445,0.363,0.251,0.202,0.163,0.233,0.281,0.185,0.18,0.2,0.193,0.105,0.081,0.094,0.086,0.897,0.892,0.887,0.957,0.94,0.924,0.916,0.913,0.908,0.907,0.913,0.914,0.937,0.914,0.882,0.832,0.855,0.734,0.665,0.583,0.58,0.602,0.563,0.492,0.456,0.381,0.33,0.285,0.203,0.179,0.221,0.092,0.085,0.157,0.15,0.18,0.208,0.201,0.211,0.18,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,0.999965,
3502, 0.878,0.887,0.872,0.827,0.803,0.758,0.759,0.853,0.775,0.748,0.683,0.741,0.658,0.663,0.587,0.607,0.571,0.622,0.671,0.545,0.559,0.476,0.499,0.463,0.472,0.411,0.389,0.417,0.321,0.322,0.267,0.299,0.258,0.227,0.134,0.064,0.033,0.058,0.052,0.087,0.874,0.939,0.916,0.911,0.896,0.918,0.901,0.86,0.871,0.884,0.894,0.896,0.881,0.861,0.79,0.809,0.652,0.616,0.523,0.471,0.615,0.571,0.452,0.456,0.434,0.385,0.369,0.288,0.254,0.274,0.274,0.275,0.247,0.27,0.198,0.175,0.183,0.215,0.2,0.16,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,0.99994,
4002, 0.972,0.966,0.966,0.947,0.951,0.894,0.946,0.945,0.941,0.938,0.802,0.777,0.766,0.74,0.753,0.805,0.745,0.695,0.623,0.643,0.579,0.455,0.39,0.418,0.405,0.314,0.186,0.141,0.164,0.085,0.076,0.055,0.028,0.014,0.003,0.012,0.017,0.024,0.055,0.067,0.971,0.979,0.944,0.946,0.964,0.96,0.97,0.936,0.926,0.871,0.856,0.834,0.792,0.702,0.596,0.557,0.567,0.509,0.521,0.616,0.589,0.434,0.253,0.195,0.279,0.383,0.429,0.402,0.415,0.245,0.306,0.195,0.145,0.08,0.057,0.077,0.048,0.113,0.03,0.019,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,
4502, 1,1,1,0.983,0.961,0.924,0.872,0.874,0.821,0.869,0.855,0.895,0.944,0.921,0.833,0.81,0.765,0.591,0.57,0.558,0.541,0.419,0.306,0.233,0.274,0.171,0.172,0.142,0.07,0.04,0.023,0.008,0.002,0.015,0.017,0.028,0.065,0.005,0.021,0.011,0.932,0.932,0.904,0.88,0.906,0.862,0.9,0.928,0.873,0.871,0.888,0.892,0.837,0.83,0.705,0.657,0.478,0.495,0.565,0.541,0.544,0.536,0.564,0.498,0.478,0.428,0.46,0.236,0.154,0.177,0.148,0.146,0.087,0.134,0.173,0.149,0.137,0.054,0.068,0.05,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,
