gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d20l0, d21l0, d22l0, d23l0, d24l0, d25l0, d26l0, d27l0, d28l0, d29l0, d30l0, d31l0, d32l0, d33l0, d34l0, d35l0, d36l0, d37l0, d38l0, d39l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d20l1, d21l1, d22l1, d23l1, d24l1, d25l1, d26l1, d27l1, d28l1, d29l1, d30l1, d31l1, d32l1, d33l1, d34l1, d35l1, d36l1, d37l1, d38l1, d39l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, d20W, d21W, d22W, d23W, d24W, d25W, d26W, d27W, d28W, d29W, d30W, d31W, d32W, d33W, d34W, d35W, d36W, d37W, d38W, d39W, 
2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998,0.915,0.062,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.996,0.918,0.065,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
502, 1,1,1,1,1,1,1,1,0.989,0.979,0.995,0.992,0.984,0.931,0.883,0.856,0.763,0.693,0.565,0.441,0.42,0.364,0.257,0.212,0.194,0.142,0.157,0.165,0.123,0.045,0.053,0.054,0.038,0.019,0.017,0.006,0.008,0.001,0,0,1,1,1,1,1,1,1,1,1,0.998,0.974,0.948,0.982,0.941,0.924,0.91,0.845,0.858,0.802,0.71,0.615,0.519,0.409,0.324,0.252,0.142,0.037,0.022,0.025,0.011,0.001,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1002, 1,1,1,1,1,1,1,0.993,0.997,0.988,0.992,0.99,0.995,0.965,0.958,0.896,0.83,0.672,0.565,0.521,0.429,0.333,0.366,0.308,0.295,0.213,0.206,0.176,0.136,0.096,0.088,0.035,0.052,0.06,0.047,0.059,0.098,0.094,0.021,0.077,1,1,1,1,1,1,0.996,0.982,0.997,0.986,0.984,0.981,0.967,0.924,0.917,0.853,0.814,0.79,0.732,0.523,0.383,0.248,0.155,0.19,0.122,0.109,0.083,0.064,0.019,0.033,0.005,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1502, 1,1,1,1,1,1,1,1,0.999,1,0.998,0.999,0.974,0.918,0.888,0.797,0.775,0.734,0.616,0.596,0.414,0.382,0.298,0.244,0.333,0.215,0.186,0.101,0.238,0.162,0.207,0.13,0.099,0.07,0.008,0.004,0.01,0,0.003,0,0.958,0.986,0.974,0.995,0.995,0.992,0.981,0.916,0.957,0.968,0.986,0.983,0.91,0.863,0.814,0.784,0.677,0.693,0.563,0.44,0.426,0.379,0.317,0.26,0.231,0.233,0.115,0.102,0.08,0.099,0.08,0.046,0.012,0.002,0.004,0,0,0,0,0,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,0.999811,
2002, 1,1,1,1,1,1,1,0.998,0.989,0.933,0.954,0.858,0.82,0.826,0.684,0.625,0.564,0.473,0.464,0.394,0.408,0.344,0.34,0.256,0.212,0.21,0.238,0.266,0.207,0.189,0.129,0.111,0.064,0.038,0.011,0.008,0.029,0.008,0.033,0.041,0.97,0.939,0.98,0.989,0.997,0.986,0.987,1,1,0.997,0.995,0.974,0.917,0.884,0.844,0.71,0.62,0.646,0.578,0.53,0.456,0.365,0.283,0.255,0.288,0.265,0.231,0.211,0.204,0.216,0.119,0.122,0.129,0.111,0.16,0.104,0.084,0.096,0.064,0.032,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,0.999878,
2502, 0.998,0.99,0.982,0.959,0.987,0.99,0.961,0.962,0.89,0.764,0.815,0.874,0.857,0.853,0.766,0.669,0.609,0.525,0.55,0.503,0.531,0.453,0.391,0.305,0.291,0.312,0.335,0.305,0.292,0.187,0.215,0.189,0.142,0.071,0.055,0.039,0.006,0.011,0.016,0.031,0.999,0.985,0.951,0.943,0.911,0.956,0.939,0.934,0.897,0.936,0.946,0.928,0.912,0.832,0.751,0.717,0.649,0.588,0.561,0.458,0.386,0.27,0.343,0.298,0.246,0.221,0.172,0.118,0.137,0.127,0.117,0.09,0.104,0.073,0.079,0.079,0.05,0.042,0.044,0.033,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,0.999988,
3002, 0.998,0.992,0.991,0.998,1,0.986,0.969,0.927,0.907,0.933,0.896,0.922,0.927,0.908,0.899,0.808,0.648,0.67,0.646,0.527,0.359,0.35,0.263,0.312,0.283,0.279,0.231,0.201,0.164,0.271,0.273,0.285,0.212,0.13,0.051,0.054,0.043,0.031,0.052,0.04,0.995,1,1,0.997,0.986,0.966,0.972,0.941,0.889,0.912,0.869,0.808,0.734,0.752,0.674,0.652,0.636,0.559,0.429,0.386,0.416,0.373,0.304,0.258,0.158,0.267,0.283,0.232,0.176,0.12,0.146,0.116,0.229,0.136,0.136,0.044,0.008,0.001,0,0,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,0.999961,
3502, 0.966,0.973,0.968,0.964,0.95,0.911,0.851,0.89,0.884,0.835,0.766,0.788,0.779,0.759,0.64,0.549,0.417,0.328,0.309,0.264,0.235,0.333,0.343,0.344,0.433,0.457,0.421,0.331,0.391,0.362,0.289,0.291,0.185,0.08,0.046,0.137,0.053,0.061,0.028,0.045,1,1,1,1,0.993,0.988,0.963,0.974,0.917,0.826,0.676,0.622,0.628,0.57,0.444,0.409,0.378,0.345,0.332,0.304,0.377,0.327,0.256,0.195,0.122,0.14,0.126,0.153,0.216,0.247,0.163,0.163,0.081,0.024,0.045,0.04,0.089,0.046,0.043,0.009,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,0.999888,
4002, 0.986,0.969,0.942,0.938,0.917,0.903,0.832,0.75,0.744,0.547,0.602,0.601,0.626,0.621,0.546,0.517,0.5,0.426,0.363,0.401,0.389,0.348,0.313,0.227,0.217,0.272,0.251,0.185,0.175,0.228,0.241,0.149,0.107,0.082,0.044,0.034,0.015,0.033,0.019,0.005,1,0.999,0.997,0.983,0.989,0.975,0.893,0.87,0.823,0.699,0.636,0.714,0.519,0.491,0.443,0.582,0.449,0.443,0.532,0.455,0.303,0.19,0.183,0.162,0.199,0.188,0.141,0.126,0.108,0.108,0.097,0.074,0.027,0.013,0.007,0.021,0.004,0.013,0.011,0.01,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,0.999953,
4502, 0.979,0.963,0.963,0.975,0.9,0.895,0.802,0.761,0.822,0.758,0.732,0.699,0.676,0.557,0.518,0.371,0.222,0.2,0.113,0.201,0.219,0.176,0.203,0.198,0.176,0.217,0.156,0.161,0.143,0.276,0.177,0.15,0.095,0.083,0.088,0.038,0.005,0.005,0,0,0.985,0.986,0.964,0.945,0.967,0.879,0.887,0.887,0.869,0.791,0.653,0.529,0.443,0.338,0.259,0.316,0.315,0.281,0.26,0.205,0.183,0.126,0.158,0.155,0.085,0.073,0.046,0.04,0.067,0.077,0.119,0.097,0.113,0.132,0.139,0.135,0.095,0.035,0.011,0.006,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,0.99985,
