gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d20l0, d21l0, d22l0, d23l0, d24l0, d25l0, d26l0, d27l0, d28l0, d29l0, d30l0, d31l0, d32l0, d33l0, d34l0, d35l0, d36l0, d37l0, d38l0, d39l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d20l1, d21l1, d22l1, d23l1, d24l1, d25l1, d26l1, d27l1, d28l1, d29l1, d30l1, d31l1, d32l1, d33l1, d34l1, d35l1, d36l1, d37l1, d38l1, d39l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, d20W, d21W, d22W, d23W, d24W, d25W, d26W, d27W, d28W, d29W, d30W, d31W, d32W, d33W, d34W, d35W, d36W, d37W, d38W, d39W, 
2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999,0.935,0.055,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999,0.937,0.055,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
502, 1,1,1,1,1,1,0.973,0.962,0.987,0.981,0.969,0.919,0.957,0.901,0.91,0.895,0.841,0.692,0.488,0.435,0.436,0.35,0.312,0.183,0.127,0.044,0.031,0.028,0.044,0.038,0.038,0.013,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.994,1,1,0.954,0.899,0.857,0.834,0.837,0.741,0.548,0.482,0.506,0.523,0.525,0.433,0.325,0.244,0.201,0.239,0.254,0.103,0.064,0.051,0.021,0.021,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1002, 1,1,1,1,1,1,0.999,0.994,0.996,0.984,0.993,0.965,0.877,0.934,0.906,0.837,0.814,0.753,0.645,0.528,0.377,0.275,0.189,0.135,0.098,0.094,0.064,0.065,0.1,0.1,0.048,0.029,0.004,0,0,0,0,0,0,0,0.905,0.908,0.944,0.969,0.97,0.993,0.991,0.978,0.997,0.999,0.966,0.916,0.875,0.755,0.667,0.581,0.545,0.486,0.401,0.527,0.61,0.498,0.502,0.32,0.251,0.115,0.2,0.144,0.091,0.047,0.031,0.014,0.043,0.038,0.028,0.024,0.021,0.016,0.031,0.009,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,
1502, 1,1,1,1,0.999,0.993,0.998,0.995,0.947,0.946,0.914,0.928,0.881,0.903,0.902,0.916,0.842,0.84,0.769,0.679,0.544,0.417,0.354,0.283,0.298,0.223,0.229,0.196,0.137,0.087,0.141,0.158,0.167,0.049,0.048,0.041,0.024,0.006,0.007,0,0.867,0.822,0.905,0.861,0.905,0.943,0.923,0.909,0.851,0.844,0.786,0.735,0.703,0.656,0.631,0.595,0.474,0.413,0.437,0.368,0.436,0.328,0.33,0.217,0.246,0.292,0.151,0.078,0.058,0.067,0.058,0.109,0.075,0.079,0.032,0.03,0.032,0.007,0.009,0,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,
2002, 1,1,1,1,1,1,1,0.997,0.975,0.969,0.983,0.957,0.872,0.816,0.845,0.849,0.79,0.742,0.632,0.529,0.516,0.623,0.49,0.481,0.433,0.365,0.299,0.264,0.286,0.222,0.189,0.118,0.108,0.111,0.038,0.016,0,0,0,0,0.906,0.924,0.912,0.899,0.931,0.885,0.926,0.904,0.853,0.867,0.792,0.87,0.792,0.773,0.615,0.509,0.389,0.315,0.216,0.292,0.224,0.242,0.255,0.268,0.284,0.265,0.208,0.074,0.069,0.05,0.069,0.055,0.017,0.031,0.044,0.03,0.01,0.01,0.008,0.007,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,
2502, 1,1,1,1,1,1,0.999,0.955,0.958,0.879,0.791,0.811,0.878,0.771,0.794,0.706,0.671,0.66,0.597,0.549,0.487,0.548,0.477,0.474,0.528,0.405,0.33,0.219,0.255,0.227,0.257,0.197,0.147,0.164,0.097,0.014,0.032,0.038,0.025,0.047,0.916,0.904,0.955,0.922,0.918,0.893,0.866,0.856,0.867,0.809,0.798,0.824,0.762,0.753,0.611,0.452,0.392,0.382,0.259,0.287,0.332,0.391,0.319,0.271,0.247,0.202,0.097,0.101,0.045,0.05,0.057,0.041,0.053,0.075,0.029,0.035,0.002,0,0,0,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,0.999979,
3002, 0.942,0.97,0.971,0.96,0.899,0.868,0.944,0.89,0.89,0.914,0.858,0.87,0.868,0.847,0.747,0.62,0.575,0.579,0.529,0.509,0.453,0.52,0.511,0.488,0.536,0.406,0.411,0.282,0.247,0.161,0.182,0.168,0.152,0.165,0.12,0.038,0.017,0.023,0.014,0.008,0.93,0.907,0.9,0.882,0.896,0.898,0.889,0.815,0.874,0.822,0.873,0.901,0.818,0.777,0.704,0.595,0.636,0.668,0.474,0.351,0.28,0.185,0.125,0.215,0.27,0.234,0.208,0.206,0.164,0.151,0.135,0.082,0.064,0.022,0.013,0.005,0.017,0,0.006,0.001,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,
3502, 0.751,0.815,0.82,0.74,0.824,0.826,0.737,0.765,0.768,0.88,0.788,0.704,0.644,0.661,0.625,0.564,0.624,0.36,0.395,0.391,0.268,0.297,0.268,0.277,0.258,0.211,0.249,0.246,0.249,0.261,0.164,0.139,0.144,0.106,0.129,0.072,0.101,0.135,0.122,0.081,0.692,0.749,0.736,0.735,0.777,0.707,0.789,0.84,0.847,0.766,0.74,0.643,0.606,0.483,0.423,0.521,0.388,0.404,0.465,0.434,0.435,0.465,0.412,0.281,0.275,0.201,0.178,0.099,0.11,0.177,0.072,0.099,0.121,0.103,0.059,0.062,0.014,0.035,0.036,0.003,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,0.999901,
4002, 0.859,0.82,0.827,0.794,0.835,0.913,0.885,0.76,0.734,0.701,0.824,0.729,0.705,0.69,0.712,0.748,0.754,0.755,0.778,0.784,0.72,0.532,0.458,0.508,0.539,0.548,0.486,0.522,0.386,0.286,0.296,0.303,0.232,0.192,0.228,0.179,0.168,0.177,0.145,0.187,0.852,0.821,0.864,0.799,0.75,0.66,0.62,0.555,0.569,0.615,0.54,0.64,0.629,0.49,0.497,0.467,0.415,0.369,0.355,0.266,0.268,0.193,0.178,0.192,0.148,0.14,0.151,0.169,0.172,0.164,0.114,0.127,0.089,0.08,0.108,0.059,0.036,0.038,0.013,0.008,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,0.999941,
4502, 0.916,0.909,0.873,0.786,0.824,0.859,0.791,0.753,0.843,0.865,0.876,0.929,0.922,0.9,0.861,0.795,0.705,0.559,0.571,0.509,0.526,0.539,0.528,0.557,0.582,0.544,0.568,0.472,0.567,0.417,0.386,0.396,0.519,0.373,0.234,0.196,0.189,0.22,0.144,0.181,0.417,0.492,0.635,0.494,0.428,0.592,0.493,0.568,0.448,0.554,0.533,0.507,0.634,0.563,0.524,0.454,0.503,0.366,0.306,0.239,0.17,0.152,0.175,0.113,0.066,0.13,0.127,0.173,0.176,0.137,0.149,0.224,0.175,0.18,0.148,0.198,0.141,0.102,0.056,0.032,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,0.999813,
