gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d20l0, d21l0, d22l0, d23l0, d24l0, d25l0, d26l0, d27l0, d28l0, d29l0, d30l0, d31l0, d32l0, d33l0, d34l0, d35l0, d36l0, d37l0, d38l0, d39l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d20l1, d21l1, d22l1, d23l1, d24l1, d25l1, d26l1, d27l1, d28l1, d29l1, d30l1, d31l1, d32l1, d33l1, d34l1, d35l1, d36l1, d37l1, d38l1, d39l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, d20W, d21W, d22W, d23W, d24W, d25W, d26W, d27W, d28W, d29W, d30W, d31W, d32W, d33W, d34W, d35W, d36W, d37W, d38W, d39W, 
2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.996,0.903,0.072,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.997,0.896,0.068,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
502, 1,1,1,1,1,1,1,1,1,0.996,0.977,0.981,0.942,0.934,0.912,0.854,0.859,0.757,0.636,0.633,0.442,0.187,0.08,0.062,0.061,0.104,0.052,0.039,0.03,0.014,0.015,0.002,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0.999,0.975,0.969,0.944,0.928,0.936,0.888,0.829,0.665,0.536,0.47,0.414,0.231,0.206,0.163,0.104,0.036,0.011,0.012,0.005,0.018,0.003,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1002, 1,0.997,0.996,0.97,0.979,0.988,0.987,0.991,0.999,0.984,0.985,0.912,0.91,0.908,0.895,0.758,0.696,0.669,0.593,0.449,0.32,0.246,0.162,0.12,0.136,0.065,0.018,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.999,0.996,0.954,0.978,0.902,0.871,0.952,0.948,0.914,0.8,0.739,0.76,0.709,0.799,0.731,0.713,0.675,0.6,0.374,0.241,0.198,0.158,0.128,0.062,0.05,0.067,0.032,0.006,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1502, 0.961,0.879,0.869,0.88,0.877,0.907,0.952,0.957,0.992,0.993,0.951,0.979,0.985,0.961,0.923,0.816,0.689,0.568,0.576,0.486,0.306,0.203,0.109,0.134,0.077,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.979,0.997,0.993,0.96,0.979,0.951,0.975,0.918,0.935,0.957,0.939,0.863,0.85,0.847,0.778,0.691,0.521,0.362,0.208,0.174,0.138,0.064,0.048,0.049,0.086,0.085,0.041,0.032,0.026,0.002,0,0,0,0,0,0,0,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,
2002, 0.97,0.969,0.97,0.984,0.971,0.982,0.948,0.937,0.969,0.896,0.914,0.932,0.944,0.888,0.766,0.635,0.532,0.505,0.329,0.365,0.251,0.21,0.191,0.281,0.234,0.128,0.136,0.022,0.004,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.999,0.997,0.99,0.978,0.989,0.978,0.96,0.961,0.988,0.991,0.978,0.942,0.902,0.743,0.598,0.509,0.377,0.307,0.298,0.261,0.16,0.221,0.179,0.107,0.098,0.082,0.062,0.043,0.021,0.032,0.004,0.008,0,0,0,0,0,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,0.999945,
2502, 0.909,0.948,0.972,0.997,0.997,0.999,0.998,0.993,0.992,0.951,0.905,0.774,0.747,0.696,0.665,0.62,0.497,0.486,0.563,0.496,0.303,0.197,0.151,0.179,0.146,0.079,0.012,0.005,0.006,0.001,0.006,0.001,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.987,0.993,0.935,0.916,0.863,0.788,0.885,0.826,0.661,0.733,0.683,0.562,0.56,0.511,0.352,0.264,0.168,0.2,0.144,0.149,0.094,0.029,0.037,0.072,0.125,0.044,0.017,0,0,0,0,0,0,0,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,0.999839,
3002, 0.97,0.982,0.974,0.979,0.963,0.961,0.975,0.966,0.923,0.878,0.849,0.796,0.727,0.616,0.53,0.447,0.438,0.347,0.309,0.297,0.279,0.257,0.154,0.152,0.097,0.046,0.03,0.039,0.056,0.031,0.024,0.001,0,0,0,0,0,0,0,0,0.999,0.997,0.998,0.993,0.965,0.981,0.992,0.994,0.963,0.945,0.981,0.983,0.963,0.904,0.845,0.748,0.646,0.527,0.447,0.369,0.255,0.237,0.329,0.239,0.138,0.083,0.049,0.038,0.05,0.016,0.012,0.048,0.065,0.062,0.012,0.003,0,0,0,0,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,0.999948,
3502, 0.994,0.972,0.973,0.996,0.992,0.992,0.988,0.955,0.951,0.954,0.878,0.834,0.728,0.726,0.704,0.694,0.621,0.516,0.447,0.435,0.381,0.255,0.171,0.181,0.054,0.046,0.04,0.054,0.004,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.996,0.975,0.994,0.966,0.945,0.876,0.818,0.753,0.679,0.648,0.728,0.619,0.514,0.41,0.423,0.207,0.189,0.073,0.031,0.022,0.062,0.048,0.04,0.002,0,0,0,0,0,0,0,0,0,0,0,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,
4002, 0.893,0.91,0.931,0.902,0.81,0.81,0.787,0.802,0.802,0.807,0.717,0.705,0.763,0.796,0.67,0.491,0.35,0.243,0.119,0.178,0.141,0.102,0.087,0.068,0.116,0.091,0.122,0.119,0.106,0.033,0.004,0.022,0.022,0.015,0.001,0.007,0.006,0.036,0.042,0.019,0.974,0.986,0.995,0.981,0.88,0.855,0.894,0.926,0.939,0.909,0.881,0.802,0.763,0.78,0.743,0.567,0.53,0.482,0.309,0.332,0.294,0.231,0.154,0.092,0.046,0.028,0.02,0.045,0.046,0.008,0.001,0,0,0,0,0,0,0,0,0,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,0.999606,
4502, 0.875,0.925,0.84,0.765,0.861,0.924,0.905,0.965,0.932,0.922,0.862,0.82,0.738,0.654,0.565,0.39,0.388,0.388,0.294,0.278,0.194,0.136,0.067,0.038,0.007,0.009,0.003,0.03,0.041,0.035,0.026,0.013,0.006,0,0,0,0,0,0,0,0.963,0.97,0.975,0.977,0.992,0.992,0.881,0.908,0.963,0.933,0.857,0.794,0.6,0.626,0.552,0.383,0.313,0.333,0.259,0.175,0.085,0.105,0.075,0.039,0.056,0.053,0.014,0.012,0.061,0.026,0.013,0.01,0.018,0.008,0.012,0.035,0.006,0.002,0,0,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,0.999589,
