0	0	0.0973754	1
0	1	-0.0973754	0
1	0	-0.0550003	1
1	1	0.0550003	1
2	0	0.0387095	1
2	1	-0.0387095	0
3	0	-0.0516486	1
3	1	0.0516486	1
4	0	0.059418	0
4	1	-0.059418	1
5	0	-0.0323236	0
5	1	0.0323236	0
6	0	0.0224318	1
6	1	-0.0224318	1
7	0	0.0585357	0
7	1	-0.0585357	1
8	0	0.0135587	0
8	1	-0.0135587	1
9	0	-0.044582	1
9	1	0.044582	0
10	0	-0.0360366	0
10	1	0.0360366	0
11	0	-0.0209554	0
11	1	0.0209554	1
12	0	0.0232793	0
12	1	-0.0232793	0
13	0	0.000969315	0
13	1	-0.000969315	1
14	0	0.0412196	0
14	1	-0.0412196	1
15	0	-0.0213058	0
15	1	0.0213058	1
16	0	-0.071529	1
16	1	0.071529	1
17	0	0.0208632	0
17	1	-0.0208632	1
18	0	-0.0467424	1
18	1	0.0467424	1
19	0	-0.0205235	1
19	1	0.0205235	1
20	0	0.0265173	0
20	1	-0.0265173	0
21	0	-0.0194692	0
21	1	0.0194692	0
22	0	0.0817078	0
22	1	-0.0817078	0
23	0	0.0485049	1
23	1	-0.0485049	1
24	0	0.051839	0
24	1	-0.051839	0
25	0	0.0455811	0
25	1	-0.0455811	1
26	0	-0.110438	1
26	1	0.110438	1
27	0	-0.01791	1
27	1	0.01791	1
28	0	0.0200336	0
28	1	-0.0200336	0
29	0	-0.0716675	1
29	1	0.0716675	0
30	0	0.0629054	1
30	1	-0.0629054	1
31	0	0.0384311	1
31	1	-0.0384311	1
32	0	0.0540824	0
32	1	-0.0540824	0
33	0	0.0568025	1
33	1	-0.0568025	0
34	0	0.0498777	1
34	1	-0.0498777	0
35	0	0.0246261	0
35	1	-0.0246261	1
36	0	-0.00479301	0
36	1	0.00479301	0
37	0	0.0378666	1
37	1	-0.0378666	1
38	0	0.0138527	0
38	1	-0.0138527	1
39	0	-0.0562738	0
39	1	0.0562738	1
40	0	-0.0566911	1
40	1	0.0566911	1
41	0	0.00397519	1
41	1	-0.00397519	1
42	0	-0.054264	0
42	1	0.054264	0
43	0	0.0888934	1
43	1	-0.0888934	1
44	0	-0.0160968	1
44	1	0.0160968	1
45	0	0.0503309	0
45	1	-0.0503309	0
46	0	0.0426254	0
46	1	-0.0426254	0
47	0	0.0432977	0
47	1	-0.0432977	0
48	0	0.00275614	0
48	1	-0.00275614	1
49	0	-0.0779922	0
49	1	0.0779922	0
