gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d20l0, d21l0, d22l0, d23l0, d24l0, d25l0, d26l0, d27l0, d28l0, d29l0, d30l0, d31l0, d32l0, d33l0, d34l0, d35l0, d36l0, d37l0, d38l0, d39l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d20l1, d21l1, d22l1, d23l1, d24l1, d25l1, d26l1, d27l1, d28l1, d29l1, d30l1, d31l1, d32l1, d33l1, d34l1, d35l1, d36l1, d37l1, d38l1, d39l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, d20W, d21W, d22W, d23W, d24W, d25W, d26W, d27W, d28W, d29W, d30W, d31W, d32W, d33W, d34W, d35W, d36W, d37W, d38W, d39W, 
2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998,0.95,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.997,0.947,0.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
502, 1,1,1,1,1,1,1,1,1,0.994,0.999,0.979,0.976,0.944,0.871,0.853,0.86,0.714,0.66,0.504,0.382,0.282,0.272,0.248,0.245,0.183,0.08,0.101,0.039,0.026,0.021,0.009,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.991,0.984,0.976,0.927,0.854,0.813,0.754,0.759,0.764,0.629,0.672,0.598,0.469,0.403,0.253,0.259,0.279,0.198,0.082,0.028,0.016,0.036,0.022,0.021,0.003,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1002, 1,1,1,1,1,1,1,1,0.992,0.962,0.933,0.876,0.781,0.787,0.752,0.737,0.571,0.526,0.52,0.47,0.444,0.399,0.304,0.367,0.375,0.292,0.206,0.096,0.052,0.033,0.004,0.005,0,0,0,0,0,0,0,0,1,1,1,1,1,0.997,0.978,0.975,0.929,0.923,0.867,0.763,0.729,0.784,0.697,0.695,0.606,0.475,0.506,0.513,0.416,0.228,0.262,0.226,0.191,0.16,0.131,0.095,0.08,0.066,0.032,0.044,0.061,0.051,0.048,0.01,0.007,0.022,0.004,0.016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1502, 0.955,0.976,0.971,0.978,0.926,0.922,0.88,0.824,0.84,0.892,0.84,0.762,0.778,0.789,0.75,0.756,0.635,0.652,0.603,0.494,0.618,0.538,0.56,0.424,0.29,0.366,0.25,0.261,0.175,0.146,0.121,0.08,0.052,0.039,0.017,0.011,0.02,0.007,0.036,0.011,1,1,0.999,0.994,0.994,0.994,0.982,0.95,0.901,0.832,0.767,0.742,0.766,0.83,0.87,0.836,0.798,0.754,0.72,0.692,0.705,0.63,0.523,0.39,0.378,0.33,0.264,0.183,0.178,0.066,0.078,0.06,0.074,0.09,0.037,0.087,0.111,0.148,0.131,0.081,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,0.99998,
2002, 0.987,0.967,0.937,0.895,0.895,0.841,0.798,0.847,0.839,0.846,0.936,0.725,0.716,0.65,0.608,0.646,0.607,0.588,0.671,0.616,0.419,0.39,0.354,0.329,0.226,0.2,0.142,0.165,0.089,0.16,0.166,0.07,0.064,0.126,0.101,0.085,0.096,0.131,0.096,0.117,0.953,0.901,0.993,0.998,0.994,0.982,0.959,0.981,0.921,0.922,0.937,0.951,0.92,0.867,0.787,0.803,0.786,0.744,0.723,0.712,0.654,0.606,0.553,0.458,0.455,0.517,0.414,0.327,0.146,0.131,0.085,0.022,0.031,0.039,0.028,0.024,0.008,0.006,0.021,0.043,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,
2502, 0.908,0.883,0.887,0.862,0.89,0.829,0.756,0.713,0.668,0.59,0.626,0.672,0.663,0.689,0.689,0.569,0.511,0.402,0.316,0.249,0.223,0.174,0.167,0.129,0.16,0.096,0.119,0.061,0.07,0.036,0.011,0.037,0.09,0.066,0.089,0.142,0.1,0.073,0.084,0.039,0.98,0.974,0.878,0.933,0.94,0.919,0.963,0.937,0.907,0.768,0.892,0.896,0.847,0.859,0.855,0.768,0.741,0.636,0.609,0.612,0.63,0.625,0.554,0.595,0.599,0.403,0.336,0.301,0.272,0.178,0.342,0.322,0.266,0.232,0.133,0.115,0.075,0.148,0.2,0.103,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,
3002, 0.811,0.747,0.632,0.657,0.64,0.656,0.615,0.6,0.575,0.474,0.532,0.488,0.521,0.538,0.536,0.564,0.648,0.527,0.363,0.159,0.085,0.118,0.059,0.031,0.005,0.02,0.024,0.06,0.032,0.032,0.043,0.058,0.078,0.113,0.096,0.097,0.056,0.041,0.03,0.038,0.92,0.91,0.928,0.886,0.901,0.853,0.898,0.912,0.916,0.879,0.887,0.863,0.809,0.827,0.888,0.911,0.846,0.942,0.835,0.787,0.73,0.727,0.689,0.51,0.491,0.358,0.462,0.481,0.55,0.404,0.379,0.379,0.264,0.106,0.155,0.072,0.061,0.029,0.007,0.001,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,0.999886,
3502, 0.848,0.856,0.779,0.787,0.767,0.792,0.882,0.822,0.791,0.763,0.744,0.627,0.559,0.56,0.416,0.504,0.539,0.417,0.33,0.421,0.323,0.257,0.203,0.126,0.141,0.082,0.045,0.025,0.016,0.012,0.017,0.051,0.027,0.021,0.031,0.019,0.066,0.088,0.122,0.155,0.993,0.988,0.953,0.961,0.947,0.937,0.943,0.926,0.957,0.994,0.981,0.972,0.98,0.952,0.902,0.866,0.899,0.902,0.898,0.78,0.728,0.555,0.567,0.36,0.379,0.353,0.357,0.312,0.144,0.142,0.111,0.171,0.241,0.165,0.235,0.211,0.126,0.101,0.042,0.022,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,0.999923,
4002, 0.936,0.937,0.91,0.881,0.862,0.837,0.85,0.781,0.706,0.568,0.631,0.8,0.805,0.739,0.841,0.746,0.693,0.667,0.67,0.614,0.457,0.337,0.33,0.333,0.164,0.113,0.064,0.034,0.036,0.053,0.058,0.026,0.08,0.028,0.065,0.023,0.014,0.009,0.009,0.004,0.984,0.978,0.969,0.944,0.996,0.992,0.984,0.997,1,1,1,0.97,0.947,0.923,0.936,0.856,0.812,0.79,0.736,0.697,0.67,0.682,0.757,0.649,0.544,0.432,0.347,0.245,0.235,0.159,0.263,0.183,0.189,0.221,0.161,0.169,0.102,0.149,0.238,0.19,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,0.999957,
4502, 0.983,0.99,0.994,1,1,0.99,0.935,0.929,0.905,0.908,0.867,0.762,0.704,0.618,0.615,0.575,0.513,0.549,0.502,0.493,0.374,0.352,0.256,0.196,0.179,0.134,0.111,0.071,0.091,0.089,0.067,0.025,0.033,0.043,0.046,0.102,0.075,0.056,0.012,0.016,1,1,1,1,1,0.997,0.972,0.978,0.951,0.955,0.927,0.919,0.871,0.865,0.879,0.888,0.813,0.805,0.713,0.695,0.653,0.579,0.507,0.395,0.403,0.475,0.499,0.331,0.341,0.387,0.396,0.366,0.337,0.244,0.222,0.192,0.284,0.283,0.272,0.275,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,0.999991,
